Quadro I >> Indicadores de território e população por município,,,,,,,,,
,,,,,,,,,Índice
Municípios,"Área 
(km2)","Densidade populacional
(Hab./km2)","População 
residente 
Total","População residente 
6-84 anos","População residente 
6-84 anos
Homens","População residente 
6-84 anos
Mulheres",,,
,,,N.º,,,,,,
,,,,,,,,,
PORTUGAL,"92,225.60",111.8,"10,309,573","9,499,839","4,521,972","4,977,867",,,
AML,"3,015.24",935.7,"2,821,349","2,574,246","1,212,652","1,361,594",,,
Alcochete,128.36,148.2,"19,020","17,546","8,402","9,144",,,
Almada,70.01,"2,418.7","169,330","154,989","72,707","82,282",,,
Amadora,23.78,"7,492.4","178,169","162,235","75,788","86,447",,,
Barreiro,36.39,"2,087.9","75,978","70,496","32,912","37,584",,,
Cascais,97.40,"2,165.2","210,889","193,240","89,948","103,292",,,
Lisboa,100.05,"5,047.1","504,964","445,627","206,970","238,657",,,
Loures,167.24,"1,241.1","207,567","190,238","90,219","100,019",,,
Mafra,291.65,283.2,"82,581","75,863","36,731","39,132",,,
Moita,55.26,"1,172.0","64,767","59,688","28,212","31,476",,,
Montijo,348.62,159.9,"55,742","50,918","24,650","26,268",,,
Odivelas,26.54,"5,881.0","156,083","142,069","66,889","75,180",,,
Oeiras,45.88,"3,797.9","174,249","158,704","73,565","85,139",,,
Palmela,465.12,137.9,"64,146","59,424","28,557","30,867",,,
Seixal,95.45,"1,729.9","165,123","152,958","72,471","80,487",,,
Sesimbra,195.72,260.4,"50,972","47,013","22,925","24,088",,,
Setúbal,230.33,507.9,"116,979","108,187","51,376","56,811",,,
Sintra,319.23,"1,202.7","383,946","354,796","168,264","186,532",,,
Vila Franca de Xira,318.19,442.6,"140,844","130,255","62,066","68,189",,,
,,,,,,,,,
"Fonte: INE, I.P., Estimativas Anuais da População Residente (2016); MA- DGT, Carta Administrativa Oficial de Portugal.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
