Quadro II.1 >> População móvel por município de residência,,,,,,
,,,,,,Índice
Municípios,População Móvel,,,,,
,N.º,%,,,,
,,,,,,
AML,"2,068,610",80.4,,,,
Alcochete,"14,057",80.1,,,,
Almada,"122,852",79.3,,,,
Amadora,"142,264",87.7,,,,
Barreiro,"53,756",76.3,,,,
Cascais,"150,786",78.0,,,,
Lisboa,"359,333",80.6,,,,
Loures,"150,785",79.2,,,,
Mafra,"57,383",75.6,,,,
Moita,"49,925",83.6,,,,
Montijo,"40,113",78.8,,,,
Odivelas,"120,254",84.6,,,,
Oeiras,"123,389",77.7,,,,
Palmela,"49,659",83.6,,,,
Seixal,"127,635",83.4,,,,
Sesimbra,"39,421",83.9,,,,
Setúbal,"85,934",79.4,,,,
Sintra,"273,359",77.0,,,,
Vila Franca de Xira,"107,706",82.7,,,,
,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
