"Quadro II.3 >> População móvel por sexo e escalão etário, segundo o município de residência",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Unidade: %,,,,Índice,,
Sexo/Esc.etário, Total ,,,,, Masculino ,,,,,Feminino,,,,,,,,,,
Municípios, Total , 6 a 24 anos , 25 a 44 anos ,45 a 64 anos,65 a 84 anos, Total , 6 a 24 anos , 25 a 44 anos ,45 a 64 anos,65 a 84 anos,Total,6 a 24 anos,25 a 44 anos,45 a 64 anos,65 a 84 anos,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AML,80.4,80.2,85.1,83.1,69.9,82.5,80.0,85.6,85.2,76.7,78.4,80.3,84.7,81.3,64.7,,,,,,
Alcochete,80.1,83.9,87.5,80.3,58.8,80.9,77.7,92.7,78.3,65.3,79.4,90.1,82.7,82.2,53.5,,,,,,
Almada,79.3,76.2,86.6,83.0,67.8,80.6,72.9,88.9,82.0,75.7,78.1,79.6,84.4,83.9,61.8,,,,,,
Amadora,87.7,87.8,88.5,91.9,81.2,89.0,87.7,90.0,92.4,84.3,86.5,87.8,87.2,91.4,78.8,,,,,,
Barreiro,76.3,89.8,80.9,78.8,57.8,77.2,86.9,80.4,77.9,64.1,75.4,92.8,81.3,79.5,52.9,,,,,,
Cascais,78.0,75.2,81.1,82.4,70.2,79.2,70.0,81.2,87.1,76.4,77.0,80.7,81.0,78.6,65.7,,,,,,
Lisboa,80.6,80.3,86.3,84.2,71.4,83.6,79.5,87.4,87.3,78.4,78.1,81.1,85.3,81.5,66.6,,,,,,
Loures,79.2,72.4,86.9,82.0,71.4,81.4,75.4,85.5,83.7,78.8,77.3,69.3,88.1,80.5,65.6,,,,,,
Mafra,75.6,80.4,82.1,76.4,51.8,79.5,84.0,84.8,81.3,54.5,72.1,76.7,79.6,71.6,49.6,,,,,,
Moita,83.6,87.1,89.2,90.6,60.6,82.7,81.8,88.1,91.2,61.0,84.5,92.4,90.2,90.1,60.2,,,,,,
Montijo,78.8,80.0,84.8,76.7,66.9,84.9,83.0,88.7,83.4,80.3,73.1,76.7,80.9,70.6,56.8,,,,,,
Odivelas,84.6,88.1,86.9,84.5,77.6,86.0,85.4,88.7,83.2,86.3,83.4,91.0,85.3,85.7,70.7,,,,,,
Oeiras,77.7,72.6,84.1,80.2,71.6,80.7,75.1,84.5,80.4,82.0,75.2,69.9,83.7,80.0,63.8,,,,,,
Palmela,83.6,80.7,89.3,86.4,73.5,87.0,84.8,89.7,87.9,83.9,80.4,76.4,88.9,85.1,65.2,,,,,,
Seixal,83.4,86.9,87.1,82.1,75.5,86.1,92.7,85.3,84.6,81.5,81.0,81.1,88.7,79.9,70.4,,,,,,
Sesimbra,83.9,77.8,92.6,83.2,76.5,83.9,77.8,92.5,82.3,78.6,83.9,77.8,92.8,84.0,74.6,,,,,,
Setúbal,79.4,83.9,83.1,81.8,66.2,80.9,83.7,79.7,82.8,76.5,78.1,84.2,86.3,81.0,58.1,,,,,,
Sintra,77.0,78.3,80.9,80.6,61.4,79.5,77.6,82.3,84.5,67.0,74.8,79.0,79.6,77.0,57.0,,,,,,
Vila Franca de Xira,82.7,81.2,86.0,86.3,71.8,84.1,82.8,84.0,88.5,78.4,81.4,79.6,87.8,84.4,66.3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
