Quadro II.4 >> População móvel por condição perante o trabalho segundo o município de residência,,,,,,,,,,,,,,
,,,,,,,,,,Unidade: %,,,,Índice
CPT,Total,Trabalha,Estuda,Desempregado(a),Reformado(a),Doméstico (a),,Outros inativos,,Outras situações,,,,
Municípios,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AML,80.4,87.7,79.3,71.3,70.8,65.6,,56.0,,81.3,,,,
Alcochete,80.1,88.7,80.3,82.6,54.9,27.7,§,62.7,§,83.8,,,,
Almada,79.3,88.2,75.8,64.5,68.8,51.0,,84.5,,79.7,,,,
Amadora,87.7,92.8,79.9,79.7,80.5,77.9,,87.6,,91.3,,,,
Barreiro,76.3,87.6,90.4,57.2,57.4,81.1,,67.6,,88.7,,,,
Cascais,78.0,85.2,80.6,66.7,71.3,66.0,,42.6,,71.8,,,,
Lisboa,80.6,88.3,75.8,74.7,71.5,76.4,,48.4,,82.3,,,,
Loures,79.2,87.2,73.7,77.3,70.4,73.6,,55.4,,71.8,,,,
Mafra,75.6,85.7,78.1,57.8,50.9,60.9,,34.6,,87.7,,,,
Moita,83.6,88.4,98.5,83.5,73.4,54.2,,74.1,,86.1,,,,
Montijo,78.8,85.1,81.5,61.8,65.2,79.2,,73.4,,83.3,,,,
Odivelas,84.6,89.9,87.5,72.6,78.7,68.1,,59.2,,89.3,,,,
Oeiras,77.7,86.5,65.3,62.5,70.4,65.7,,52.2,,77.9,,,,
Palmela,83.6,90.4,75.9,72.8,76.4,65.8,,79.9,,83.0,,,,
Seixal,83.4,87.7,86.1,83.1,77.7,53.8,,51.9,,90.4,,,,
Sesimbra,83.9,92.4,76.5,78.6,73.5,80.7,,31.9,,80.7,,,,
Setúbal,79.4,87.1,78.1,64.0,70.1,65.0,,50.2,,90.9,,,,
Sintra,77.0,84.8,80.7,68.4,64.4,62.1,,29.9,,76.1,,,,
Vila Franca de Xira,82.7,89.4,85.2,79.5,72.0,42.6,,74.4,,77.1,,,,
,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
