Quadro II.5 >> População móvel por nível de escolaridade segundo o município de residência,,,,,,,,,,
,,,,,,Unidade: %,,,,Índice
Nivel escolar.,Total,Até ao Ensino Básico (1º ciclo),"Ensino Básico 
(2º e 3º ciclo)",Ensino Secundário e Pós-Secundário,Ensino Superior,Outras situações,,,,
Municípios,,,,,,,,,,
,,,,,,,,,,
AML,80.4,72.1,81.0,83.3,86.1,76.8,,,,
Alcochete,80.1,69.3,80.3,81.3,86.7,91.4,,,,
Almada,79.3,71.3,82.4,77.6,88.3,67.8,,,,
Amadora,87.7,85.5,86.1,88.3,90.6,91.7,,,,
Barreiro,76.3,67.4,77.2,85.8,85.0,56.8,,,,
Cascais,78.0,67.1,81.1,74.5,85.1,77.6,,,,
Lisboa,80.6,71.9,78.3,85.7,85.5,76.5,,,,
Loures,79.2,72.6,79.0,84.9,84.2,74.9,,,,
Mafra,75.6,62.6,73.2,86.1,81.6,87.8,,,,
Moita,83.6,77.9,86.2,87.3,88.5,72.0,,,,
Montijo,78.8,67.5,78.5,82.2,88.3,82.8,,,,
Odivelas,84.6,77.7,88.3,82.8,92.0,82.3,,,,
Oeiras,77.7,64.6,77.0,75.1,86.8,80.4,,,,
Palmela,83.6,76.8,88.8,85.0,86.2,76.0,,,,
Seixal,83.4,82.1,84.6,83.8,86.0,71.4,,,,
Sesimbra,83.9,80.3,80.1,90.4,89.8,75.7,,,,
Setúbal,79.4,68.5,79.3,84.8,88.4,86.5,,,,
Sintra,77.0,66.4,77.4,83.2,83.7,73.2,,,,
Vila Franca de Xira,82.7,70.9,87.1,89.8,83.4,73.0,,,,
,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
