Quadro II.6 >> População móvel por escalão de rendimento segundo o município de residência,,,,,,,,,,,
,,,,,,Unidade: %,,,,,Índice
Esc. Rend.,Total,Menos de 430 euros,De 430 até menos de 1000 euros,De 1000 até menos de 2600 euros,2600 ou mais euros,Outras situações,,,,,
Municípios,,,,,,,,,,,
,,,,,,,,,,,
AML,80.4,71.0,76.7,82.7,85.9,75.1,,,,,
Alcochete,80.1,65.2,69.7,81.8,90.3,82.1,,,,,
Almada,79.3,60.7,75.9,81.1,89.0,71.7,,,,,
Amadora,87.7,80.5,86.6,89.0,93.3,82.2,,,,,
Barreiro,76.3,48.6,73.4,81.4,83.1,73.0,,,,,
Cascais,78.0,82.0,69.1,79.3,84.0,74.2,,,,,
Lisboa,80.6,70.6,81.2,81.5,86.0,70.6,,,,,
Loures,79.2,72.4,76.7,82.1,78.2,78.0,,,,,
Mafra,75.6,31.8,71.6,79.5,82.2,72.0,,,,,
Moita,83.6,84.7,74.8,82.8,93.6,97.5,,,,,
Montijo,78.8,80.9,70.9,84.7,88.3,25.1,,,,,
Odivelas,84.6,88.1,83.7,84.6,89.7,82.5,,,,,
Oeiras,77.7,81.5,69.8,79.0,85.9,68.1,,,,,
Palmela,83.6,82.9,78.9,87.3,81.2,77.4,,,,,
Seixal,83.4,63.3,83.4,85.7,86.2,76.0,,,,,
Sesimbra,83.9,61.3,85.8,87.2,86.2,36.8,,,,,
Setúbal,79.4,70.7,66.6,86.2,86.0,78.1,,,,,
Sintra,77.0,67.5,69.7,80.8,86.2,75.5,,,,,
Vila Franca de Xira,82.7,72.5,82.9,83.5,88.4,57.9,,,,,
,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
