Quadro III.2 >> Distribuição da população por escalão de despesa média mensal com combustível do agregado e por condição perante o trabalho,,,,,,,,,,,,
,,,,,,,,Unidade: %,,,,Índice
Esc. despesa,Total,"Não há despesa, habitualmente",Menos de 30 euros,Entre 30 e menos de 60 euros,Entre 60 e menos de 100 euros,Entre 100 e menos de 150 euros,Entre 150 e menos de 250 euros,250 ou mais euros,,,,
CPT,,,,,,,,,,,,
,,,,,,,,,,,,
AML,100.0,20.3,8.1,17.2,20.0,16.2,11.8,6.4,,,,
Trabalha,100.0,13.0,5.1,15.9,22.3,20.1,15.3,8.3,,,,
Estuda,100.0,18.0,4.5,14.0,21.9,17.9,14.0,9.7,,,,
Desempregado(a),100.0,33.1,9.2,17.6,17.8,12.3,6.7,3.3,,,,
Reformado(a),100.0,33.4,16.7,23.0,14.5,7.2,3.7,1.5,,,,
Doméstico(a),100.0,22.7,11.1,21.7,18.9,14.5,7.2,4.0,,,,
Outros inativos,100.0,34.6,13.2,18.0,18.4,7.3,5.5,3.0,,,,
Outras situações,100.0,16.0,3.7,12.2,21.6,20.8,17.2,8.6,,,,
,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
