Quadro III.3 >> Distribuição da população por escalão de despesa média mensal com estacionamento do agregado e por município de residência,,,,,,,,,,,,,,,,,,,,
,,,,,,Unidade: %,,,,Índice,,,,,,,,,,
Esc. Despesa,Total,"Não há despesa, habitualmente",Menos de 5 euros,Entre 5 e menos de 10 euros,Entre 10 e menos de 50 euros,50 ou mais euros,,,,,,,,,,,,,,
Municípios,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AML,100.0,73.1,6.3,6.7,10.6,3.3,,,,,,,,,,,,,,
Alcochete,100.0,76.8,1.8,4.2,14.7,2.4,,,,,,,,,,,,,,
Almada,100.0,78.9,3.3,5.0,8.5,4.4,,,,,,,,,,,,,,
Amadora,100.0,79.7,4.7,4.3,7.6,3.6,,,,,,,,,,,,,,
Barreiro,100.0,83.3,3.2,6.0,6.3,1.1,,,,,,,,,,,,,,
Cascais,100.0,58.2,9.4,12.1,17.1,3.3,,,,,,,,,,,,,,
Lisboa,100.0,56.2,9.2,10.3,17.9,6.3,,,,,,,,,,,,,,
Loures,100.0,76.4,5.6,4.4,10.6,3.0,,,,,,,,,,,,,,
Mafra,100.0,82.3,3.6,3.8,8.6,1.7,,,,,,,,,,,,,,
Moita,100.0,90.3,1.5,2.3,4.1,1.9,§,,,,,,,,,,,,,
Montijo,100.0,77.1,9.3,6.1,4.8,2.6,,,,,,,,,,,,,,
Odivelas,100.0,80.0,5.9,4.4,7.7,2.0,,,,,,,,,,,,,,
Oeiras,100.0,53.4,12.4,13.2,12.6,8.4,,,,,,,,,,,,,,
Palmela,100.0,76.7,10.7,3.6,7.9,1.1,,,,,,,,,,,,,,
Seixal,100.0,82.7,3.2,5.3,7.9,0.9,,,,,,,,,,,,,,
Sesimbra,100.0,74.5,8.4,7.2,9.3,0.6,,,,,,,,,,,,,,
Setúbal,100.0,80.3,7.3,6.2,5.6,0.6,,,,,,,,,,,,,,
Sintra,100.0,83.5,3.7,4.0,6.9,1.9,,,,,,,,,,,,,,
Vila Franca de Xira,100.0,79.8,4.5,4.7,10.1,0.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
