Quadro III.5 >> Distribuição da população por escalão de despesa média mensal com portagens do agregado e por município de residência,,,,,,,,,,,,,,,,,,
,,,,,,,,Unidade: %,,,,Índice,,,,,,
Esc. despesa,Total,"Não há despesa, habitualmente",Menos de 5 euros,Entre 5 e menos de 10 euros,Entre 10 e menos de 15 euros,Entre 15 e menos de 30 euros,Entre 30 e menos de 60 euros,60 ou mais euros,,,,,,,,,,
Municípios,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AML,100.0,57.8,6.4,8.5,6.1,8.5,7.2,5.5,,,,,,,,,,
Alcochete,100.0,39.8,3.2,3.5,7.2,6.3,16.9,23.2,,,,,,,,,,
Almada,100.0,48.5,6.4,8.9,7.5,13.4,10.8,4.5,,,,,,,,,,
Amadora,100.0,66.5,4.8,10.6,3.8,6.9,5.2,2.3,,,,,,,,,,
Barreiro,100.0,60.0,6.4,8.6,4.5,7.5,10.1,3.0,,,,,,,,,,
Cascais,100.0,38.7,7.4,9.7,7.7,13.2,9.5,13.8,,,,,,,,,,
Lisboa,100.0,54.2,7.0,8.4,7.9,10.5,6.8,5.1,,,,,,,,,,
Loures,100.0,68.9,5.4,8.2,4.5,5.6,4.1,3.4,,,,,,,,,,
Mafra,100.0,45.6,3.0,5.3,8.4,5.7,15.6,16.4,,,,,,,,,,
Moita,100.0,65.7,6.5,6.8,3.7,3.5,8.0,5.8,,,,,,,,,,
Montijo,100.0,46.9,6.4,10.4,8.9,4.3,8.6,14.6,,,,,,,,,,
Odivelas,100.0,72.8,5.2,4.4,3.3,5.4,5.5,3.4,,,,,,,,,,
Oeiras,100.0,46.3,8.1,11.9,9.4,11.3,6.9,6.2,,,,,,,,,,
Palmela,100.0,48.6,10.0,12.2,4.3,6.6,7.9,10.4,,,,,,,,,,
Seixal,100.0,57.8,8.1,8.1,4.7,10.2,7.6,3.7,,,,,,,,,,
Sesimbra,100.0,49.1,7.5,9.8,2.8,13.3,15.2,2.2,,,,,,,,,,
Setúbal,100.0,65.8,5.4,7.5,4.1,8.2,4.5,4.5,,,,,,,,,,
Sintra,100.0,66.3,6.9,8.3,6.4,5.1,4.4,2.6,,,,,,,,,,
Vila Franca de Xira,100.0,65.8,2.8,7.9,4.7,8.7,7.4,2.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
