Quadro III.7 >> Distribuição da população por escalão de despesa média mensal com transportes públicos do agregado e por município de residência,,,,,,,,,,,,,,
,,,,,,Unidade: %,,,,Índice,,,,
Esc. despesa,Total,"Não há despesa, habitualmente",Menos de 10 euros,Entre 10 e menos de 30 euros,Entre 30 e menos de 60 euros,60 ou mais euros,,,,,,,,
Municípios,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AML,100.0,43.8,5.7,11.2,19.8,19.5,,,,,,,,
Alcochete,100.0,58.4,4.8,9.5,8.8,18.5,,,,,,,,
Almada,100.0,39.7,4.8,11.7,19.7,24.2,,,,,,,,
Amadora,100.0,35.6,7.7,6.8,27.0,23.0,,,,,,,,
Barreiro,100.0,44.9,4.3,11.5,16.7,22.7,,,,,,,,
Cascais,100.0,53.9,8.2,10.4,11.7,15.7,,,,,,,,
Lisboa,100.0,23.9,9.2,22.6,28.4,15.9,,,,,,,,
Loures,100.0,39.1,3.8,9.7,25.5,21.9,,,,,,,,
Mafra,100.0,76.0,3.4,6.1,6.4,8.2,,,,,,,,
Moita,100.0,55.8,3.9,6.1,16.5,17.6,,,,,,,,
Montijo,100.0,64.7,3.8,7.9,13.8,9.7,,,,,,,,
Odivelas,100.0,35.6,5.0,6.3,29.2,23.9,,,,,,,,
Oeiras,100.0,45.4,5.8,10.8,21.2,16.9,,,,,,,,
Palmela,100.0,57.4,4.5,9.0,11.4,17.7,,,,,,,,
Seixal,100.0,42.4,3.9,8.3,13.6,31.8,,,,,,,,
Sesimbra,100.0,66.0,1.8,4.7,10.4,17.0,,,,,,,,
Setúbal,100.0,66.6,5.7,11.0,6.4,10.3,,,,,,,,
Sintra,100.0,48.6,3.5,8.2,16.8,22.9,,,,,,,,
Vila Franca de Xira,100.0,44.4,6.6,8.6,23.3,17.2,,,,,,,,
,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
