Quadro III.8 >> Distribuição da população por escalão de despesa média mensal com transportes públicos do agregado e por condição perante o trabalho,,,,,,,,,,,,,,
,,,,,,Unidade: %,,,,Índice,,,,
Esc. despesa,Total,"Não há despesa, habitualmente",Menos de 10 euros,Entre 10 e menos de 30 euros,Entre 30 e menos de 60 euros,60 ou mais euros,,,,,,,,
CPT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AML,100.0,43.8,5.7,11.2,19.8,19.5,,,,,,,,
Trabalha,100.0,43.5,4.2,7.7,22.0,22.7,,,,,,,,
Estuda,100.0,22.6,2.3,10.2,26.8,38.1,,,,,,,,
Desempregado(a),100.0,41.4,7.0,12.2,19.2,20.3,,,,,,,,
Reformado(a),100.0,49.4,10.6,20.0,12.7,7.3,,,,,,,,
Doméstico(a),100.0,56.3,7.7,11.1,13.6,11.3,,,,,,,,
Outros inativos,100.0,46.9,7.3,13.7,15.5,16.6,,,,,,,,
Outras situações,100.0,47.2,3.5,8.3,22.3,18.8,,,,,,,,
,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
