Quadro IV.1 >> Deslocações/dia por meio de transporte principal utilizado e por município de residência,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Unidade: N.º,,,,Índice,,,
Meio transp.,Total,Automóvel - condutor,Automóvel - passageiro,Motociclo ou ciclomotor,,Táxi - passageiro,,Autocarro - transp. público,Autocarro - tr. escolar/ empresa,Comboio,,Metropo- litano,Barco,,Avião,,A pé,Bicicleta,,Outro,,,,,,,
Municípios,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AML,"5,385,300","2,475,192","697,821","47,330",,"19,220",,"420,838","51,388","173,669",,"166,827","16,564",,"4,244",,"1,239,201","26,187",,"46,820",,,,,,,
Alcochete,"38,455","19,371","6,714",186,§,,x,"2,517",832,153,§,614,303,,,x,"6,996",503,,231,,,,,,,
Almada,"312,346","139,855","38,922","2,132",,506,,"32,259","1,081","7,373",,"14,898","2,273",,424,§,"65,423",861,,"6,340",,,,,,,
Amadora,"403,230","154,803","49,635","1,613",,973,,"33,923","2,057","15,646",,"20,631",,x,,x,"120,572","1,752",,"1,551",,,,,,,
Barreiro,"135,807","58,465","18,438",108,§,,x,"9,850","2,283","1,697",,"4,098","6,623",,,x,"32,963",630,§,264,,,,,,,
Cascais,"407,438","232,077","54,914","7,623",,167,§,"17,819","1,123","18,663",,"3,414",,x,684,§,"63,553","5,741",,"1,658",,,,,,,
Lisboa,"935,253","313,943","107,972","8,991",,"9,037",,"110,453","4,076","10,565",,"73,065",415,,"1,172",,"278,462","5,486",,"11,615",,,,,,,
Loures,"395,364","183,356","57,357","2,880",,"1,973",,"49,837","5,405","3,944",,"11,831",,x,321,§,"72,567","1,329",,"4,564",,,,,,,
Mafra,"149,001","90,327","25,493","1,811",,,x,"6,444","3,163",,x,478,,x,45,§,"17,069",256,,"3,892",,,,,,,
Moita,"121,120","45,381","16,530","1,155",§,919,§,"6,133","2,864","4,605",,"1,021","1,779",,,x,"40,289",372,§,72,,,,,,,
Montijo,"108,228","55,446","16,563",162,,,x,"2,177","3,129",389,§,894,"2,418",,,x,"25,123","1,068",,388,,,,,,,
Odivelas,"302,278","128,923","40,733","2,002",,470,,"33,195","3,600","1,041",,"20,428",,x,,x,"70,001",269,§,"1,574",,,,,,,
Oeiras,"331,323","172,989","41,388","4,510",,970,,"26,701","1,201","12,569",,"3,775",,x,131,§,"65,254",811,,948,,,,,,,
Palmela,"133,379","70,383","22,642",844,,,x,"6,549","2,627","3,854",,469,815,,121,§,"22,948","1,440",,678,,,,,,,
Seixal,"316,601","150,651","37,903","1,467",,"1,326",,"15,890","6,008","19,526",,"5,041","1,085",,,x,"72,056","2,430",,"2,918",,,,,,,
Sesimbra,"107,317","62,063","13,528","2,790",,,x,"2,548","1,003","2,530",,383,137,§,,x,"21,166",446,,724,,,,,,,
Setúbal,"247,615","127,738","35,717",769,,343,§,"8,033","4,247","4,224",,270,508,,433,§,"61,639",448,,"3,246",,,,,,,
Sintra,"677,631","344,829","84,897","7,081",,"1,612",,"41,008","3,669","53,157",,"3,449",,x,511,§,"132,100","1,456",,"3,811",,,,,,,
Vila Franca de Xira,"262,914","124,592","28,475","1,205",,,x,"15,502","3,021","13,727",,"2,068",,x,,x,"71,019",888,,"2,345",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
