"Quadro IV.12 >> Taxa de ocupação dos veículos automóveis por tipo de estacionamento na residência, no local de trabalho e no local de estudo",,,,,,
,Unidade: N.º,,,,Índice,
Tipo de estacionamento, Taxa de ocupação ,,,,,
,,,,,,
AML,,,,,,
Na residência,1.60,,,,,
Gratuito,1.60,,,,,
Pago,1.58,,,,,
Outras situações,1.67,,,,,
No local de trabalho,1.52,,,,,
Gratuito,1.51,,,,,
Pago,1.58,,,,,
Outras situações,1.81,,,,,
No local de estudo,1.42,,,,,
Gratuito,1.40,,,,,
Pago,1.46,,,,,
Outras situações,1.39,,,,,
,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,
Nota: Apuramento com base em etapas,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
