Quadro IV.13 >> Distribuição das deslocações/dia por motivo principal e por município de residência,,,,,,,,,,,,
,,,,,,,,Unidade: %,,,,Índice
Motivo,Total,Trabalho,Estudo,Acompanhar familiares/amigos,Lazer,Compras,Assuntos pessoais,Outra atividade,,,,
Município,,,,,,,,,,,,
,,,,,,,,,,,,
AML,100.0%,30.8%,10.5%,15.2%,11.2%,19.8%,11.9%,0.7%,,,,
Alcochete,100.0%,32.4%,13.0%,14.6%,11.4%,17.8%,9.9%,0.8%,,,,
Almada,100.0%,31.0%,10.1%,15.2%,9.0%,21.0%,13.2%,0.4%,,,,
Amadora,100.0%,29.9%,8.3%,14.4%,12.5%,22.5%,12.0%,0.4%,,,,
Barreiro,100.0%,31.9%,12.4%,14.7%,13.8%,12.3%,13.2%,1.7%,,,,
Cascais,100.0%,31.9%,8.1%,17.1%,12.1%,18.2%,12.0%,0.6%,,,,
Lisboa,100.0%,29.0%,10.0%,13.4%,14.1%,20.1%,12.6%,0.8%,,,,
Loures,100.0%,32.7%,9.0%,15.8%,11.2%,19.6%,10.5%,1.2%,,,,
Mafra,100.0%,30.8%,12.9%,18.2%,8.2%,20.9%,8.6%,0.3%,,,,
Moita,100.0%,26.9%,14.8%,11.2%,12.1%,23.0%,11.5%,0.5%,§,,,
Montijo,100.0%,32.4%,12.0%,18.6%,8.3%,18.6%,9.9%,0.2%,,,,
Odivelas,100.0%,28.9%,10.5%,16.1%,10.6%,21.7%,11.9%,0.3%,,,,
Oeiras,100.0%,29.6%,9.9%,13.2%,13.7%,19.1%,13.8%,0.7%,,,,
Palmela,100.0%,29.2%,11.1%,16.9%,9.6%,20.0%,12.2%,1.0%,,,,
Seixal,100.0%,31.0%,10.3%,13.4%,11.0%,21.0%,12.9%,0.3%,,,,
Sesimbra,100.0%,34.2%,10.1%,19.2%,8.0%,19.3%,8.8%,0.3%,§,,,
Setúbal,100.0%,24.8%,11.7%,17.0%,8.5%,23.0%,14.5%,0.5%,,,,
Sintra,100.0%,33.5%,11.8%,16.5%,9.5%,17.2%,10.6%,0.9%,,,,
Vila Franca de Xira,100.0%,35.3%,13.5%,14.1%,7.5%,19.2%,10.2%,0.3%,,,,
,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,
"Nota: Não inclui o motivo ""regresso a casa"".",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
