Quadro IV.5 >> Deslocações/dia por nível de escolaridade e tipo de transporte principal utilizado,,,,,,,,,,,,,
,,,,,,,,,,,,Índice,
Tipo transp.,Total,TI,TC,OT,Total,TI,TC,OT,,,,,
Nível esc.,N.º,,,,%,,,,,,,,
,,,,,,,,,,,,,
AML,"5,385,300","4,531,437","833,529","20,333",100.0,84.1,15.5,0.4,,,,,
Até ao ensino básico (1º ciclo),"1,077,840","914,021","156,680","7,140",100.0,84.8,14.5,0.7,,,,,
Ensino básico (2º e 3º ciclo),"1,462,213","1,199,376","257,013","5,824",100.0,82.0,17.6,0.4,,,,,
Ensino secundário e pós-sec.,"1,205,388","984,355","217,247","3,787",100.0,81.7,18.0,0.3,,,,,
Ensino superior,"1,450,716","1,258,457","189,759","2,500",100.0,86.7,13.1,0.2,,,,,
Outras situações,"189,142","175,228","12,831","1,084",100.0,92.6,6.8,0.6,,,,,
,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
