Quadro IV.6 >> Etapas/dia em automóvel (condutor) por dimensão do agregado e município de residência,,,,,,,,,,,
,,,,,,Unidade: N.º,,,,Índice,
Dim. agregado,Total,1,2,3,4, 5 ou mais ,,,,,
Município,,,,,,,,,,,
,,,,,,,,,,,
AML,"4,421,384","294,829","980,846","1,246,500","1,350,012","549,197",,,,,
Alcochete,"35,692","1,782","4,999","14,701","7,526","6,684",,,,,
Almada,"237,724","13,410","60,523","58,905","72,049","32,837",,,,,
Amadora,"256,140","20,064","55,940","72,984","84,450","22,702",,,,,
Barreiro,"109,731","4,830","17,960","46,203","30,343","10,395",,,,,
Cascais,"460,084","31,816","83,298","88,918","185,670","70,382",,,,,
Lisboa,"520,055","51,445","132,815","133,184","139,727","62,884",,,,,
Loures,"317,232","24,555","94,575","78,034","91,620","28,448",,,,,
Mafra,"172,862","7,611","20,006","58,767","70,522","15,957",,,,,
Moita,"76,016","2,381","25,658","21,546","21,057","5,374",,,,,
Montijo,"102,528","4,414","17,935","31,542","43,258","5,379",,,,,
Odivelas,"210,671","10,977","51,096","70,801","64,704","13,093",,,,,
Oeiras,"316,748","28,273","72,019","101,132","66,603","48,721",,,,,
Palmela,"139,628","6,313","23,426","45,014","42,123","22,752",,,,,
Seixal,"237,961","17,910","58,469","70,904","67,923","22,755",,,,,
Sesimbra,"135,375","4,121","15,582","28,724","56,172","30,775",,,,,
Setúbal,"234,891","9,643","52,531","78,731","74,000","19,986",,,,,
Sintra,"634,606","46,381","137,752","171,239","163,496","115,738",,,,,
Vila Franca de Xira,"223,438","8,901","56,261","75,173","68,769","14,333",,,,,
,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
