Quadro IV.7 >> Taxa de ocupação dos automóveis por município de residência,,,,,,
,Unidade: N.º,,,,Índice,
Município,Taxa de ocupação,,,,,
,,,,,,
AML,1.60,,,,,
Alcochete,1.58,,,,,
Almada,1.67,,,,,
Amadora,1.64,,,,,
Barreiro,1.57,,,,,
Cascais,1.69,,,,,
Lisboa,1.61,,,,,
Loures,1.52,,,,,
Mafra,1.65,,,,,
Moita,1.54,,,,,
Montijo,1.54,,,,,
Odivelas,1.65,,,,,
Oeiras,1.60,,,,,
Palmela,1.49,,,,,
Seixal,1.69,,,,,
Sesimbra,1.59,,,,,
Setúbal,1.49,,,,,
Sintra,1.62,,,,,
Vila Franca de Xira,1.49,,,,,
,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
