Quadro IX.1 >> Razões para utilização do  transporte público,,,,
,,,,Índice
Categoria,%,,,
,,,,
AML,,,,
Rapidez,25.2,,,
Ter ligação direta ao destino,30.6,,,
Dificuldade de estacionamento no destino,21.7,,,
Congestionamento rodoviário,21.4,,,
Preço/ custo do transporte público,35.6,,,
Conforto/comodidade,13.2,,,
Ausência de alternativa ,42.5,,,
Facilidade de acesso,30.9,,,
"Qualidade do serviço (frequência, fiabilidade, segurança…)",6.5,,,
Não conduz/não tem transporte individual,44.0,,,
Preocupações ambientais ou de saúde,8.9,,,
Facilidade de estacionamento junto ao transporte público,5.2,,,
Outra,14.3,,,
,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
