Quadro IX.3 >> Razões para utilização do transporte público segundo o meio de transporte principal utilizado,,,,,,,,,,
,,,,,,,Unidade: %,,,Índice
Meio de transporte,Táxi - passageiro,,Autocarro - transp. público,Autocarro - transp. esc./empr.,Comboio,Metropolitano,Barco,,,
Categoria,,,,,,,,,,
,,,,,,,,,,
AML,,,,,,,,,,
Rapidez,35.1,,15.9,22.7,35.0,36.3,10.9,,,
Ter ligação direta ao destino,21.0,,29.9,44.5,30.7,28.4,24.2,,,
Dificuldade de estacionamento no destino,20.2,,15.7,22.2,22.2,29.1,16.3,,,
Congestionamento rodoviário,13.0,,10.2,21.2,33.4,26.3,32.0,,,
Preço/ custo do transporte público,12.7,,37.3,38.3,34.7,30.3,52.0,,,
Conforto/comodidade,28.9,,12.7,12.4,11.9,11.7,17.7,,,
Ausência de alternativa ,59.4,,56.0,44.0,32.1,34.5,38.1,,,
Facilidade de acesso,27.6,,32.4,20.0,26.7,32.6,30.3,,,
"Qualidade do serviço (frequência, fiabilidade, segurança…)",11.5,,5.4,5.4,9.4,10.2,8.1,,,
Não conduz/não tem transporte individual,40.2,,61.7,31.3,37.4,34.4,25.4,,,
Preocupações ambientais ou de saúde,8.9,,5.2,8.7,9.3,11.4,17.8,,,
Facilidade de estacionamento junto ao transporte público,6.1,§,2.3,7.9,7.2,7.0,10.4,,,
Outra,15.4,,15.2,21.6,10.0,7.7,16.7,,,
,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
