Quadro IX.4 >> Razões para utilização do transporte público por escalão de tempo,,,,,,,
,,,,Unidade: %,,,Índice
Esc. Tempo,? 10 minutos,> 10 e ? 30 minutos,> 30 e ? 60 minutos,> 60 minutos,,,
Categoria,,,,,,,
,,,,,,,
AML,,,,,,,
Rapidez,25.3,28.2,25.5,17.6,,,
Ter ligação direta ao destino,26.6,32.3,32.1,21.6,,,
Dificuldade de estacionamento no destino,21.7,22.8,25.8,24.0,,,
Congestionamento rodoviário,28.0,21.7,22.9,24.0,,,
Preço/ custo do transporte público,39.4,34.3,35.9,41.5,,,
Conforto/comodidade,14.9,15.4,13.1,12.0,,,
Ausência de alternativa ,37.5,38.0,40.8,49.9,,,
Facilidade de acesso,30.0,33.2,30.5,23.0,,,
"Qualidade do serviço (frequência, fiabilidade, segurança…)",6.5,8.3,5.6,5.6,,,
Não conduz/não tem transporte individual,37.1,39.8,39.4,47.2,,,
Preocupações ambientais ou de saúde,11.6,8.4,10.9,10.0,,,
Facilidade de estacionamento junto ao transporte público,7.1,6.0,4.4,6.2,,,
Outra,14.3,11.5,13.1,17.4,,,
,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
