Quadro IX.5 >> Razões para utilização do transporte público por escalão de distância,,,,,,,,
,,,,,Unidade: %,,,Índice
Esc. Distância,? 2 km,> 2 e ? 5 km,> 5 e ? 15 km,> 15 e ? 30 km,> 30 km,,,
Categoria,,,,,,,,
,,,,,,,,
AML,,,,,,,,
Rapidez,24.1,25.7,25.4,28.5,22.9,,,
Ter ligação direta ao destino,28.0,32.1,27.1,31.4,34.7,,,
Dificuldade de estacionamento no destino,18.5,22.2,28.0,24.9,22.4,,,
Congestionamento rodoviário,21.3,18.6,25.0,33.5,25.3,,,
Preço/ custo do transporte público,37.2,36.7,36.3,37.5,36.7,,,
Conforto/comodidade,14.0,16.3,11.9,15.2,17.0,,,
Ausência de alternativa ,42.1,41.7,39.3,36.9,39.7,,,
Facilidade de acesso,32.6,30.8,32.9,21.2,25.7,,,
"Qualidade do serviço (frequência, fiabilidade, segurança…)",6.7,6.2,6.9,7.4,7.5,,,
Não conduz/não tem transporte individual,47.7,42.5,40.1,28.2,26.9,,,
Preocupações ambientais ou de saúde,10.6,9.6,9.2,11.3,10.6,,,
Facilidade de estacionamento junto ao transporte público,4.2,5.0,6.0,9.2,7.7,,,
Outra,13.0,12.5,11.8,15.0,22.8,,,
,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
