Quadro V.8 >> Proporção de deslocações intramunicipais por principal meio de transporte no total de deslocações intramunicipais por município,,,,,,,,,
,,,,,Índice,,,,
,,Unidade: %,,,,,,,
Meio transp.,Individual motorizado,Público e/ou coletivo,,,,,,,
Município,,,,,,,,,
,,,,,,,,,
AML,53.2,11.2,,,,,,,
Alcochete,61.1,4.1,,,,,,,
Almada,55.4,14.1,,,,,,,
Amadora,38.7,7.3,,,,,,,
Barreiro,56.0,7.3,,,,,,,
Cascais,67.7,6.6,,,,,,,
Lisboa,39.3,24.6,,,,,,,
Loures,54.6,9.5,,,,,,,
Mafra,73.4,6.3,,,,,,,
Moita,41.2,5.5,,,,,,,
Montijo,59.3,2.5,,,,,,,
Odivelas,50.0,7.1,,,,,,,
Oeiras,59.6,6.4,,,,,,,
Palmela,63.5,7.0,,,,,,,
Seixal,57.0,5.0,,,,,,,
Sesimbra,64.8,1.3,,,,,,,
Setúbal,64.4,3.7,,,,,,,
Sintra,61.2,6.3,,,,,,,
Vila Franca de Xira,51.3,4.9,,,,,,,
,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
