"Quadro VI.5 >> Proporção de deslocações intermunicipais por motivo de trabalho para os três principais municípios de destino, por município de origem ",,,,,,,,,,
,,,,,,,,,,Índice
,,,,,,,,,,
Município de origem,Primeiro munícipio de destino,,Segundo município de destino,,Terceiro município de destino,,,,,
,Designação,%,Designação,%,Designação,%,,,,
,,,,,,,,,,
Alcochete,Montijo,36.4,Lisboa,36.1,Palmela,6.8,,,,
Almada,Lisboa,67.4,Seixal,15.0,Oeiras,4.6,,,,
Amadora,Lisboa,66.1,Oeiras,13.3,Sintra,10.8,,,,
Barreiro,Lisboa,50.5,Palmela,14.7,Moita,7.7,,,,
Cascais,Lisboa,54.8,Oeiras,17.7,Sintra,10.3,,,,
Lisboa,Oeiras,29.5,Loures,23.6,Amadora,13.9,,,,
Loures,Lisboa,67.2,Odivelas,9.4,Vila Franca de Xira,5.5,,,,
Mafra,Lisboa,38.0,Loures,29.0,Sintra,14.8,,,,
Moita,Barreiro,30.5,Lisboa,29.8,Palmela,10.4,,,,
Montijo,Alcochete,35.1,Lisboa,30.8,Palmela,10.8,,,,
Odivelas,Lisboa,68.2,Loures,12.2,Amadora,6.4,,,,
Oeiras,Lisboa,62.2,Cascais,16.4,Amadora,7.0,,,,
Palmela,Setúbal,34.2,Lisboa,30.3,Montijo,12.5,,,,
Seixal,Lisboa,41.4,Almada,27.2,Palmela,6.3,,,,
Sesimbra,Lisboa,28.6,Seixal,19.1,Palmela,15.0,,,,
Setúbal,Palmela,36.8,Lisboa,24.2,Almada,8.6,,,,
Sintra,Lisboa,50.0,Oeiras,17.4,Amadora,10.5,,,,
Vila Franca de Xira,Lisboa,62.6,Loures,22.5,Odivelas,3.9,§,,,
,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,
Nota: No cálculo deste indicador não foram consideradas as deslocações intramunicipais. ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
