"Quadro VI.7 >> Proporção de deslocações intermunicipais por motivo de estudo para os três principais municípios de destino, por município de origem ",,,,,,,,,,,,
,,,,,,,,,,,,Índice
,,,,,,,,,,,,
Município de origem,Primeiro munícipio de destino,,,Segundo município de destino,,,Terceiro município de destino,,,,,
,Designação,%,,Designação,%,,Designação,%,,,,
,,,,,,,,,,,,
Alcochete,Lisboa,50.3,,Montijo,20.7,,Setúbal,18.1,§,,,
Almada,Lisboa,52.7,,Seixal,30.9,,Setúbal,10.8,,,,
Amadora,Lisboa,81.3,,Odivelas,8.5,§,Cascais,6.3,§,,,
Barreiro,Lisboa,73.1,,Palmela,19.1,§,Almada,2.3,§,,,
Cascais,Lisboa,49.2,,Oeiras,47.6,,Sintra,2.1,,,,
Lisboa,Almada,25.7,,Loures,18.4,,Oeiras,10.6,,,,
Loures,Lisboa,76.7,,Odivelas,12.4,,Vila Franca de Xira,4.5,§,,,
Mafra,Lisboa,58.1,,Loures,35.8,,Sintra,2.6,§,,,
Moita,Barreiro,34.6,§,Lisboa,27.5,§,Seixal,18.0,§,,,
Montijo,Lisboa,51.4,,Alcochete,19.2,,Cascais,11.1,§,,,
Odivelas,Lisboa,74.6,,Amadora,10.8,,Loures,8.0,,,,
Oeiras,Lisboa,73.1,,Cascais,12.4,,Sintra,10.0,,,,
Palmela,Setúbal,42.7,,Montijo,22.0,§,Lisboa,20.2,,,,
Seixal,Almada,45.5,,Lisboa,39.8,,Amadora,5.2,§,,,
Sesimbra,Lisboa,42.7,,Seixal,15.9,,Almada,15.7,§,,,
Setúbal,Lisboa,40.8,,Palmela,24.3,,Sesimbra,12.5,,,,
Sintra,Lisboa,54.8,,Amadora,15.2,,Cascais,10.5,,,,
Vila Franca de Xira,Lisboa,52.8,,Loures,34.4,,Odivelas,6.5,§,,,
,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,
Nota: No cálculo deste indicador não foram consideradas as deslocações intramunicipais. ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
