Time,Work,Study,Accompany,Recreation,Shopping,Personal matter,other,Back home
1:00,926,448,1019,694,1578,132,,40613
2:00,609,207,565,84,313,1178,,16133
3:00,156,31,615,242,147,,,8679
4:00,91,,,,,,,3977
5:00,3559,,,,,,,1547
6:00,12066,,1242,466,,,,430
7:00,37442,1251,2198,1018,251,1022,237,1469
8:00,129950,36702,30810,3483,1369,5872,858,5424
9:00,226415,151250,101036,7589,14488,14089,658,27700
10:00,151216,36182,33460,16235,37743,30417,1553,46288
11:00,48138,8577,8399,14122,58983,31568,810,50819
12:00,23741,3355,3511,6867,29379,23113,846,76399
13:00,17082,5335,6605,2647,23599,10447,444,80551
14:00,24675,14052,10737,3577,19075,12262,915,96695
15:00,37310,9484,7498,11459,22347,16105,854,59987
16:00,23846,5631,13374,8734,19669,18287,354,63736
17:00,12373,5861,30839,11675,14209,12102,755,118436
18:00,10559,8023,56177,10030,17709,10193,819,224539
19:00,12833,7240,57562,19193,12648,12298,772,257956
20:00,5480,3120,22120,15893,9661,7106,696,210984
21:00,3418,1240,7725,11240,14320,6289,290,119554
22:00,789,1098,4954,4986,6100,2328,146,61189
23:00,2187,429,2001,2246,3364,806,65,42950
0:00,2650,381,2455,1467,1662,1007,268,39039
