"Quadro VII.3 >> Tempo despendido em média por dia em deslocações, total, nos dias úteis e dias não úteis por município de residência",,,,,,,,,,
,,,,,,Índice,,,,
,,,Unidade: Minutos,,,,,,,
Meio transp.,Total,Dias úteis,Dias não íteis,,,,,,,
Município,,,,,,,,,,
,,,,,,,,,,
AML,72.5,76.3,61.9,,,,,,,
Alcochete,68.9,77.1,42.3,,,,,,,
Almada,71.3,74.6,61.0,,,,,,,
Amadora,78.1,83.4,61.7,,,,,,,
Barreiro,66.4,70.9,52.0,,,,,,,
Cascais,75.0,81.3,58.6,,,,,,,
Lisboa,81.2,84.0,72.7,,,,,,,
Loures,73.5,76.5,67.0,,,,,,,
Mafra,58.9,59.3,57.9,,,,,,,
Moita,57.1,63.4,40.3,,,,,,,
Montijo,61.7,66.4,48.5,,,,,,,
Odivelas,70.1,76.3,54.9,,,,,,,
Oeiras,76.4,78.1,72.1,,,,,,,
Palmela,67.7,70.6,60.6,,,,,,,
Seixal,76.0,81.7,63.3,,,,,,,
Sesimbra,70.3,78.3,49.2,,,,,,,
Setúbal,64.1,67.8,54.5,,,,,,,
Sintra,69.0,71.4,61.7,,,,,,,
Vila Franca de Xira,64.9,68.5,52.7,,,,,,,
,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
