MUN,Work,Sudy,Accompany,Recreation,Shopping,Personal matters,Other
Alcochete,28.2,x,1.6,17.0,40.4,12.3,0.4
Almada,10.1,0.8,4.2,21.1,40.4,22.3,1.1
Amadora,9.3,0.1,5.5,16.7,51.6,16.0,0.7
Barreiro,14.3,1.4,6.9,16.8,37.6,22.4,0.6
Cascais,15.6,0.4,9.0,22.5,40.9,11.2,0.3
Lisboa,22.3,2.9,7.2,26.3,25.4,14.8,1.0
Loures,17.7,2.0,7.7,20.0,37.1,13.3,2.2
Mafra,9.1,0.9,3.9,15.4,60.9,9.8,0.1
Moita,9.4,0.3,1.5,35.4,43.3,9.8,0.3
Montijo,12.4,0.4,5.5,16.8,47.6,17.3,0.1
Odivelas,9.7,0.6,15.5,16.1,40.2,17.5,0.3
Oeiras,14.3,1.7,7.2,22.5,41.6,12.3,0.3
Palmela,11.7,2.0,7.9,22.0,38.7,17.1,0.6
Seixal,10.1,1.1,6.4,21.1,38.7,22.1,0.6
Sesimbra,17.2,2.0,4.3,16.8,36.5,22.8,0.3
Set�bal,12.4,1.8,5.1,11.1,41.7,25.6,2.3
Sintra,13.9,2.1,6.1,25.3,38.6,12.8,1.2
Vila Franca de Xira,13.4,1.9,5.5,11.3,53.4,14.1,0.4
