"Quadro VII.7 >>  Quocientes de localização das deslocações nos dias não úteis por principal motivo da deslocação, segundo o município de destino ",,,,,,,,,,,,,,,,,,
,,,,,,,Unidade: QL,,,,Índice,,,,,,,
Motivo,Trabalho,Estudo,Acompanhar familiares/amigos,Lazer,Compras,Assuntos pessoais,Outra atividade,,,,,,,,,,,
Município de destino,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Alcochete,1.8,x,0.2,0.8,1.1,0.8,0.5,,,,,,,,,,,
Almada,0.7,0.5,0.6,1.0,1.1,1.4,1.2,,,,,,,,,,,
Amadora,0.6,0.1,0.8,0.8,1.4,1.0,0.7,,,,,,,,,,,
Barreiro,0.9,0.8,1.0,0.8,1.0,1.4,0.7,,,,,,,,,,,
Cascais,1.0,0.3,1.3,1.0,1.1,0.7,0.4,,,,,,,,,,,
Lisboa,1.4,1.7,1.1,1.2,0.7,0.9,1.1,,,,,,,,,,,
Loures,1.1,1.2,1.1,0.9,1.0,0.8,2.4,,,,,,,,,,,
Mafra,0.6,0.5,0.6,0.7,1.6,0.6,0.1,,,,,,,,,,,
Moita,0.6,0.2,0.2,1.6,1.2,0.6,0.3,§,,,,,,,,,,
Montijo,0.8,0.3,0.8,0.8,1.3,1.1,0.1,,,,,,,,,,,
Odivelas,0.6,0.4,2.3,0.7,1.1,1.1,0.4,,,,,,,,,,,
Oeiras,0.9,1.0,1.0,1.0,1.1,0.8,0.4,,,,,,,,,,,
Palmela,0.8,1.2,1.2,1.0,1.0,1.1,0.7,,,,,,,,,,,
Seixal,0.6,0.6,0.9,1.0,1.0,1.4,0.7,,,,,,,,,,,
Sesimbra,1.1,1.2,0.6,0.8,1.0,1.4,0.4,§,,,,,,,,,,
Setúbal,0.8,1.0,0.7,0.5,1.1,1.6,2.6,,,,,,,,,,,
Sintra,0.9,1.2,0.9,1.2,1.0,0.8,1.3,,,,,,,,,,,
Vila Franca de Xira,0.9,1.1,0.8,0.5,1.4,0.9,0.5,,,,,,,,,,,
,0,0,0,0,0,0,0,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,,,,,
"Nota: Não inclui o motivo ""regresso a casa"".",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
