Quadro VIII.1 >> Razões para utilização do automóvel,,,,,,
,,,,Índice,,
Categoria,%,,,,,
,,,,,,
AML,,,,,,
Rapidez,62.9,,,,,
Rede de transportes públicos sem ligação direta ao destino,30.5,,,,,
Facilidade de estacionamento,12.8,,,,,
Preço/Custo,14.0,,,,,
Conforto/comodidade,50.2,,,,,
Privacidade,12.9,,,,,
Ausência de alternativa,23.0,,,,,
Segurança,9.8,,,,,
Bons acessos rodoviários,8.1,,,,,
Combinação com outras pessoas/transporte de terceiros,8.5,,,,,
Profissionais/de trabalho,17.1,,,,,
Desconhecimento da rede de transportes públicos,1.8,,,,,
Serviços de transporte público sem a frquência ou fiabilidade necessárias,25.1,,,,,
Dispor de um veículo atribuído pela da empresa,6.7,,,,,
Dificuldade de mobilidade nos transportes públicos,9.5,,,,,
Outra razão,7.0,,,,,
,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
