Quadro VIII.2 >> Razões para utilização do automóvel segundo a condição perante o trabalho,,,,,,,,,,,,,,,,
,,,,,,,,,,Unidade: %,,,,,Índice,
CPT,Trabalha,Estuda,,Desempregado(a),Reformado(a),Doméstico (a),,Outros inativos,,Outras situações,,,,,,
Categoria,Trabalha,,,Desempregado(a),Reformado(a),,,,,,,,,,,
,,,,,,,,,,,,,,,,
AML,,,,,,,,,,,,,,,,
Rapidez,62.2,87.1,,66.2,63.7,65.8,,58.4,,63.5,,,,,,
Rede de transportes públicos sem ligação direta ao destino,34.0,16.4,,24.9,22.5,22.3,,17.8,,28.2,,,,,,
Facilidade de estacionamento,14.4,6.0,§,11.2,9.1,5.2,§,7.0,,5.7,,,,,,
Preço/Custo,13.1,17.7,,20.4,15.3,10.2,,19.4,,15.0,,,,,,
Conforto/comodidade,45.1,70.5,,50.7,65.3,47.5,,56.7,,64.2,,,,,,
Privacidade,10.8,14.1,,18.5,17.6,24.8,,19.4,,17.3,,,,,,
Ausência de alternativa,23.9,17.8,,22.7,20.7,17.0,,22.6,,13.6,,,,,,
Segurança,8.6,11.9,,6.4,14.0,21.4,,8.2,,10.1,§,,,,,
Bons acessos rodoviários,7.8,2.4,§,9.7,8.9,10.9,,6.7,,8.1,§,,,,,
Combinação com outras pessoas/transporte de terceiros,8.1,5.6,§,12.1,9.0,5.5,,14.9,,10.9,§,,,,,
Profissionais/de trabalho,21.5,1.4,§,12.5,5.0,9.7,§,15.2,,30.6,,,,,,
Desconhecimento da rede de transportes públicos,1.1,,x,1.9,4.1,1.1,,3.9,§,,x,,,,,
Serviços de transporte público sem a frquência ou fiabilidade necessárias,26.8,33.1,,20.8,19.9,34.5,,26.2,,18.1,,,,,,
Dispor de um veículo atribuído pela da empresa,8.8,,x,3.7,1.7,0.7,§,,x,,x,,,,,
Dificuldade de mobilidade nos transportes públicos,8.0,13.6,,9.6,13.8,12.5,,13.0,,5.3,§,,,,,
Outra razão,6.1,,x,8.7,9.4,10.9,,10.3,,9.3,,,,,,
,,,,,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
