Quadro VIII.3 >> Razões para utilização do automóvel segundo o meio de transporte principal utilizado (automóvel),,,,,
,,Unidade: %,,,Índice
Meio de transporte,Automóvel -condutor,Automóvel -passageiro,,,
Categoria,,,,,
,,,,,
AML,,,,,
Rapidez,62.3,63.4,,,
Rede de transportes públicos sem ligação direta ao destino,32.8,25.2,,,
Facilidade de estacionamento,13.1,9.5,,,
Preço/Custo,12.9,18.0,,,
Conforto/comodidade,51.0,49.4,,,
Privacidade,11.8,13.7,,,
Ausência de alternativa,22.8,22.1,,,
Segurança,8.3,10.7,,,
Bons acessos rodoviários,8.2,6.4,,,
Combinação com outras pessoas/transporte de terceiros,7.2,18.9,,,
Profissionais/de trabalho,18.7,13.7,,,
Desconhecimento da rede de transportes públicos,1.9,1.3,,,
Serv. transporte público sem a frequência ou fiabilidade necess.,26.3,21.0,,,
Dispor de um veículo atribuído pela da empresa,7.9,5.1,,,
Dificuldade de mobilidade nos transportes públicos,9.5,9.4,,,
Outra razão,5.5,12.2,,,
,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
