Quadro VIII.5 >> Razões para utilização do automóvel por escalão de distância,,,,,,,,
,,,,,Unidade: %,,,Índice
Esc. Distância,? 2 km,> 2 e ? 5 km,> 5 e ? 15 km,> 15 e ? 30 km,> 30 km,,,
Categoria,,,,,,,,
,,,,,,,,
AML,,,,,,,,
Rapidez,67.3,64.7,62.2,57.5,56.9,,,
Rede de transportes públicos sem ligação direta ao destino,25.9,29.1,33.1,36.1,37.9,,,
Facilidade de estacionamento,13.5,13.2,12.6,12.8,8.6,,,
Preço/Custo,13.2,15.0,14.2,13.2,13.2,,,
Conforto/comodidade,56.2,57.2,47.6,42.5,42.8,,,
Privacidade,15.0,12.6,10.5,9.4,13.4,,,
Ausência de alternativa,19.6,19.5,23.2,27.0,26.5,,,
Segurança,9.4,8.9,8.7,8.2,7.8,,,
Bons acessos rodoviários,7.5,8.4,7.9,7.8,6.2,,,
Combinação com outras pessoas/transporte de terceiros,10.0,8.2,10.0,9.1,8.9,,,
Profissionais/de trabalho,14.4,15.3,16.9,22.1,22.9,,,
Desconhecimento da rede de transportes públicos,1.5,1.6,2.3,1.0,2.9,,,
Serv. transporte público sem a frequência ou fiabilidade necess.,24.0,23.8,27.3,28.3,25.3,,,
Dispor de um veículo atribuído pela da empresa,5.4,5.3,7.5,9.4,12.6,,,
Dificuldade de mobilidade nos transportes públicos,8.8,10.4,9.4,10.0,8.4,,,
Outra razão,8.3,6.9,6.7,5.6,5.7,,,
,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
