Quadro X.1 >> Avaliação dos transportes públicos por categoria,,,,,,
,Unidade: Pontos,,,Índice,,
Categoria,Avaliação,,,,,
,,,,,,
AML,,,,,,
Preço/Custo do transporte público,3.14,,,,,
Duração do percurso/rapidez,3.78,,,,,
Horários - frequência dos serviços,3.16,,,,,
Horários - período de funcionamento,3.40,,,,,
Fiabilidade/pontualidade,3.05,,,,,
Proximidade à rede (paragens),4.13,,,,,
Sistema tarifário e bilhética (divers. de bilhetes e passes),3.62,,,,,
Lotação,2.90,,,,,
Facilidade de transbordo (mesmo operador ou para outro),3.81,,,,,
Segurança,3.69,,,,,
Conforto/comodidade/limpeza,3.40,,,,,
Informação ao público,3.28,,,,,
Qualidade dos veículos/frota,3.42,,,,,
Acesso por pessoas portadoras de deficiência,2.85,,,,,
,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,
Avaliação: Classificação entre 1 (Muito mau) a 6 (Muito bom),,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
