Quadro X.2 >> Avaliação dos transportes públicos segundo a condição perante o trabalho,,,,,,,,,,,,
,,,,,,,Unidade: Pontos,,,Índice,,
CPT,Trabalha,Estuda,Desempregado(a),Reformado(a),Doméstico (a),Outros inativos,Outras situações,,,,,
Categoria,Trabalha,Estuda,Desempregado(a),Reformado(a),Doméstico (a),Outros inativos,Outras situações,,,,,
,,,,,,,,,,,,
AML,,,,,,,,,,,,
Preço/Custo do transporte público,3.01,3.43,2.63,3.57,2.95,2.79,3.02,,,,,
Duração do percurso/rapidez,3.76,3.83,3.76,3.88,3.29,3.11,3.25,,,,,
Horários - frequência dos serviços,3.15,3.11,3.07,3.26,2.45,3.01,2.97,,,,,
Horários - período de funcionamento,3.37,3.34,3.30,3.54,3.08,3.34,2.73,,,,,
Fiabilidade/pontualidade,3.02,2.89,2.97,3.21,2.59,2.63,3.06,,,,,
Proximidade à rede (paragens),4.09,4.52,4.02,4.23,4.00,4.19,3.80,,,,,
Sistema tarifário e bilhética (divers. de bilhetes e passes),3.57,4.26,3.34,3.77,3.05,3.43,3.35,,,,,
Lotação,2.74,2.76,3.09,3.26,2.29,2.77,2.97,,,,,
Facilidade de transbordo (mesmo operador ou para outro),3.80,4.10,3.74,3.84,3.39,3.63,3.59,,,,,
Segurança,3.64,4.07,3.81,3.79,3.16,3.51,3.47,,,,,
Conforto/comodidade/limpeza,3.32,3.52,3.59,3.58,3.04,2.91,3.39,,,,,
Informação ao público,3.22,3.36,3.38,3.38,3.17,3.26,3.23,,,,,
Qualidade dos veículos/frota,3.29,3.85,3.53,3.66,3.33,2.90,3.30,,,,,
Acesso por pessoas portadoras de deficiência,2.80,2.95,2.76,2.99,2.73,2.60,2.95,,,,,
,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,
Avaliação: Classificação entre 1 (Muito mau) a 6 (Muito bom),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
