Quadro X.4 >> Avaliação dos transportes públicos por escalão de tempo,,,,,,,,,,,,
,,,,Unidade: Pontos,,,Índice,,,,,
Esc. Tempo,? 10 minutos,> 10 e ? 30 minutos,> 30 e ? 60 minutos,> 60 minutos,,,,,,,,
Categoria,,,,,,,,,,,,
,,,,,,,,,,,,
AML,,,,,,,,,,,,
Preço/Custo do transporte público,3.35,3.23,3.14,2.89,,,,,,,,
Duração do percurso/rapidez,3.99,3.90,3.71,3.37,,,,,,,,
Horários - frequência dos serviços,3.26,3.26,3.09,2.87,,,,,,,,
Horários - período de funcionamento,3.66,3.53,3.35,3.20,,,,,,,,
Fiabilidade/pontualidade,3.64,3.53,3.31,3.23,,,,,,,,
Proximidade à rede (paragens),4.24,4.17,4.06,3.94,,,,,,,,
Sistema tarifário e bilhética (divers. de bilhetes e passes),4.26,4.12,4.19,3.94,,,,,,,,
Lotação,2.94,2.96,2.77,2.73,,,,,,,,
Facilidade de transbordo (mesmo operador ou para outro),4.02,3.87,3.81,3.62,,,,,,,,
Segurança,3.86,3.85,3.74,3.57,,,,,,,,
Conforto/comodidade/limpeza,3.41,3.33,3.25,3.13,,,,,,,,
Informação ao público,3.43,3.31,3.21,3.04,,,,,,,,
Qualidade dos veículos/frota,3.46,3.51,3.37,3.21,,,,,,,,
Acesso por pessoas portadoras de deficiência,2.82,2.86,2.90,2.75,,,,,,,,
,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,
Avaliação: Classificação entre 1 (Muito mau) a 6 (Muito bom),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
