Quadro X.5 >> Avaliação dos transportes públicos por escalão de distância,,,,,,,,,,,,
,,,,,Unidade: Pontos,,,Índice,,,,
Esc. Distância,? 2 km,> 2 e ? 5 km,> 5 e ? 15 km,> 15 e ? 30 km,> 30 km,,,,,,,
Categoria,,,,,,,,,,,,
,,,,,,,,,,,,
AML,,,,,,,,,,,,
Preço/Custo do transporte público,3.27,3.27,3.13,3.05,3.10,,,,,,,
Duração do percurso/rapidez,3.89,3.85,3.72,3.77,3.69,,,,,,,
Horários - frequência dos serviços,3.19,3.17,3.10,3.29,3.07,,,,,,,
Horários - período de funcionamento,3.48,3.44,3.36,3.34,3.34,,,,,,,
Fiabilidade/pontualidade,3.32,3.33,3.23,3.34,3.44,,,,,,,
Proximidade à rede (paragens),4.18,4.15,4.11,4.03,4.08,,,,,,,
Sistema tarifário e bilhética (divers. de bilhetes e passes),3.99,3.92,3.94,3.93,3.89,,,,,,,
Lotação,2.93,2.96,2.77,2.82,2.86,,,,,,,
Facilidade de transbordo (mesmo operador ou para outro),3.60,3.62,3.53,3.58,3.46,,,,,,,
Segurança,3.87,3.79,3.73,3.86,3.54,,,,,,,
Conforto/comodidade/limpeza,3.38,3.25,3.27,3.31,3.26,,,,,,,
Informação ao público,3.21,3.13,3.13,3.12,3.25,,,,,,,
Qualidade dos veículos/frota,3.52,3.29,3.38,3.44,3.34,,,,,,,
Acesso por pessoas portadoras de deficiência,2.76,2.90,2.89,2.84,2.80,,,,,,,
,,,,,,,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,,,,,,,
Avaliação: Classificação entre 1 (Muito mau) a 6 (Muito bom),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
