Quadro X.6 >> Saldo de respostas extremas para avaliação dos transportes públicos por categoria,,,,,,
,Unidade: N.º,,,Índice,,
Categoria,Saldo de Resposta Extremas,,,,,
,,,,,,
AML,,,,,,
Preço/custo do transporte público,-0.13,,,,,
Duração do percurso/rapidez,0.10,,,,,
Horários - frequência dos serviços,-0.13,,,,,
Horários - período de funcionamento,-0.03,,,,,
Fiabilidade/pontualidade,-0.17,,,,,
Proximidade à rede (paragens),0.24,,,,,
Sistema tarifário e bilhética (diversidade de bilhetes e passes),0.05,,,,,
Lotação,-0.22,,,,,
Facilidade de transbordo (no mesmo operador ou para outro operador),0.11,,,,,
Segurança,0.07,,,,,
Conforto/comodidade/limpeza,-0.03,,,,,
Informação ao público,-0.08,,,,,
Qualidade dos veículos/frota,-0.03,,,,,
Acesso por pessoas portadoras de deficiência,-0.25,,,,,
,,,,,,
Fonte: Inquérito à Mobilidade nas Áreas Metropolitanas do Porto e de Lisboa,,,,,,
Avaliação: Classificação entre 1 (Muito mau) a 6 (Muito bom),,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
