 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 ,
 All Occupation Groups (Total Employed Male Residents) , 792.8 , 839 , 847.6 , 860.1 , 875.7 , 858.5 , 889.8 , 912.7 , 901.6 , 912.1 , 889.5 , 938.4 , 937.7 , 948.7 , 960.8 , 959.7 , 1036.5 , 1038.4 , 1053.6 , 1066.2 , 1106.6 , 1118.8 , 1138.1 , 1142.3 , 1161 , 1171.8 , 1178.4 , 1189.4 , 1197.2 ,
     Legislators & Senior Officials & Managers , 97.7 , 102.5 , 116.4 , 122.6 , 126.8 , 128.7 , 146.4 , 148.4 , 153.5 , 149.6 , 159 , 168.4 , 166.4 , 170.1 , 166.1 , 156.6 , 185.6 , 182.9 , 195.1 , 199.3 , 220.1 , 235.3 , 229.4 , 231.9 , 226.4 , 227.8 , 210.5 , 218.4 , 205.4 ,
         Managers & Administrators , na , 51 , 56.2 , 63.9 , 68.2 , - , 84.8 , 88.3 , 91 , 84.5 , - , 101.9 , 101.2 , 106.4 , 101.3 , - , 120.6 , 131.3 , 147.7 , 145.2 , 167.9 , 177.8 , 177.4 , 176.7 , 173.2 , 167.8 , 156.5 , 161.9 , 164.9 ,
         Working Proprietors , na , 51.5 , 60.2 , 58.7 , 58.6 , - , 61.6 , 60.1 , 62.5 , 65.1 , - , 66.5 , 65.2 , 63.7 , 64.8 , - , 65 , 62.6 , 58.8 , 64.5 , 52.2 , 57.5 , 52 , 55.2 , 53.2 , 60 , 54 , 56.5 , 40.5 ,
     Professionals , 39 , 47.5 , 56.1 , 59.1 , 63 , 57.5 , 71.2 , 92.8 , 93.2 , 103.4 , 86.7 , 115.6 , 115.4 , 126.4 , 129.6 , 119.9 , 154.7 , 171.3 , 185.8 , 193.5 , 217.7 , 187.5 , 204.1 , 199.3 , 207.2 , 211.4 , 220.9 , 238.8 , 245.9 ,
     Associate Professionals & Technicians , 94.1 , 96.7 , 113.9 , 119.2 , 131.8 , 140.4 , 151.5 , 157.8 , 149.3 , 155.7 , 153.6 , 153.5 , 153.5 , 150.4 , 166 , 160 , 170 , 153.2 , 164.3 , 160.2 , 167.1 , 185.3 , 186.7 , 198 , 206.3 , 219.1 , 232.3 , 225.8 , 244.9 ,
     Clerical Support Workers , 48 , 52.4 , 49.5 , 54.4 , 53.9 , 51.7 , 52.8 , 50.6 , 50.5 , 46.6 , 49.5 , 50.9 , 50.6 , 51.7 , 48.9 , 55.8 , 55.5 , 53.3 , 55.8 , 55.2 , 50.8 , 55.2 , 59.3 , 63.1 , 64.8 , 61.7 , 57.7 , 56.2 , 57.5 ,
     Service & Sales Workers , 115.8 , 122.5 , 120.5 , 119.4 , 118.9 , 108.2 , 115.9 , 114.6 , 114.8 , 120 , 106.9 , 104.3 , 107.8 , 104.2 , 104 , 130.3 , 110.8 , 117.8 , 108.8 , 111 , 113.8 , 111.5 , 120.5 , 115.9 , 114 , 116.6 , 119.9 , 112 , 119.1 ,
     Craftsmen & Related Trade Workers , 114.4 , 160.1 , 140.5 , 137.1 , 136.1 , 103.6 , 116.3 , 101.9 , 108.9 , 105.5 , 97.6 , 93.4 , 95.3 , 88.9 , 88.1 , 101.9 , 86.3 , 85.9 , 81.3 , 79.4 , 78 , 82.1 , 81.7 , 74.9 , 75.2 , 74.2 , 69.8 , 67.1 , 60.9 ,
     Plant & Machine Operators & Assemblers , 133.3 , 136.3 , 133.2 , 135.5 , 135.4 , 125.1 , 133 , 137 , 127 , 127.8 , 130.4 , 130.4 , 127.4 , 123.4 , 123.5 , 132.8 , 133.6 , 130.7 , 125.1 , 129.6 , 125.8 , 130.9 , 124.1 , 124.4 , 125.9 , 127.4 , 131.9 , 135.8 , 130.7 ,
     Cleaners & Labourers & Related Workers , 90.3 , 58.6 , 54.6 , 54 , 50 , 75.2 , 49.8 , 57.3 , 52 , 49 , 54.3 , 58.7 , 60.3 , 65.6 , 65.3 , 48.8 , 74.3 , 70.6 , 63.7 , 64.9 , 66.6 , 62.9 , 64.7 , 67.3 , 72.1 , 65.6 , 65.6 , 68.4 , 66.2 ,
     Other Occupation Groups Nes , 60 , 62.3 , 62.8 , 58.9 , 59.7 , 68 , 52.7 , 52.4 , 52.4 , 54.4 , 51.6 , 63.2 , 60.9 , 68.2 , 69.3 , 53.6 , 65.8 , 61.6 , 62.2 , 62.6 , 66.7 , 68.2 , 67.7 , 67.6 , 68.9 , 67.9 , 69.7 , 67 , 66.6 ,
 Employed Male Residents Aged 15 - 19 Years , 28.6 , 35.7 , 32.7 , 26.7 , 24.1 , 19.3 , 23 , 18 , 17.1 , 18.6 , 15.3 , 18.9 , 13.2 , 14.1 , 14.1 , 12.5 , 16.4 , 20.4 , 18.8 , 17 , 22.9 , 20.4 , 18.4 , 17.5 , 18.5 , 22.9 , 22.2 , 22.3 , 23.3 ,
     Legislators & Senior Officials & Managers , 0 , 0 , 0 , 0 , 0 , 0 , 0.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,
         Managers & Administrators , na , 0 , 0 , 0 , 0 , - , 0 , 0 , 0 , 0 , - , 0 , 0 , 0 , 0 , - , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,
         Working Proprietors , na , 0 , 0 , 0 , 0 , - , 0.1 , 0 , 0 , 0 , - , 0 , 0 , 0 , 0 , - , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,
     Professionals , 0.3 , 0 , 0.1 , 0 , 0 , 0 , 0.1 , 0.1 , 0.1 , 0.1 , 0 , 0 , 0 , 0 , 0.1 , 0 , 0 , 0.2 , 0 , 0 , 0.1 , 0 , 0 , 0 , 0 , 0.1 , 0.2 , 0.1 , 0 ,
     Associate Professionals & Technicians , 0.8 , 0.4 , 0.5 , 0.3 , 0.2 , 0.1 , 0.5 , 0.5 , 0.4 , 0.2 , 0.1 , 0.6 , 0.2 , 0.1 , 0.3 , 0 , 0.4 , 0.4 , 0.5 , 0.4 , 0.5 , 0.2 , 0.7 , 0.2 , 0.4 , 0.8 , 0.7 , 0.4 , 0.7 ,
     Clerical Support Workers , 0.5 , 1 , 1.1 , 1.3 , 1 , 0.6 , 1.3 , 1.1 , 0.5 , 0.6 , 0.4 , 0.8 , 0.9 , 0.9 , 0.9 , 0.4 , 0.8 , 1.5 , 1.3 , 1 , 0.7 , 1.4 , 1 , 1.3 , 0.9 , 1.7 , 1 , 1.6 , 2.1 ,
     Service & Sales Workers , 5 , 5 , 4.9 , 4.6 , 3.8 , 2.3 , 3.7 , 2.6 , 2.1 , 2.7 , 3 , 3.1 , 2.3 , 2.1 , 2.2 , 1.7 , 3.8 , 2.9 , 3.2 , 2.6 , 3.9 , 3.5 , 3.2 , 3.3 , 3.5 , 3 , 3 , 3.2 , 3.7 ,
     Craftsmen & Related Trade Workers , 1.7 , 3.6 , 3.1 , 2.2 , 1.6 , 0.8 , 1.1 , 0.5 , 0.7 , 0.7 , 0.3 , 0.5 , 0.3 , 0.3 , 0.2 , 0.1 , 0.2 , 0 , 0.3 , 0.2 , 0 , 0.1 , 0.3 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.3 ,
     Plant & Machine Operators & Assemblers , 1.9 , 2.1 , 2 , 1.4 , 1.3 , 0.5 , 0.7 , 0.6 , 0.3 , 0.5 , 0.2 , 0.2 , 0.1 , 0.3 , 0.2 , 0.2 , 0.3 , 0.3 , 0.3 , 0.2 , 0.5 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.3 ,
     Cleaners & Labourers & Related Workers , 2.6 , 2.5 , 2.1 , 1.9 , 1.4 , 1.3 , 0.8 , 1.1 , 0.8 , 1 , 0.6 , 1.3 , 0.9 , 1 , 1 , 0.5 , 1.2 , 1.1 , 1.3 , 0.8 , 1.2 , 1.4 , 1.1 , 1 , 1.1 , 1.2 , 0.9 , 1.2 , 0.9 ,
     Other Occupation Groups Nes , 15.9 , 21.2 , 19 , 14.9 , 14.8 , 13.7 , 14.7 , 11.5 , 12.3 , 12.8 , 10.6 , 12.5 , 8.5 , 9.5 , 9.3 , 9.5 , 9.6 , 14.1 , 12 , 11.8 , 16 , 13.6 , 11.9 , 11.3 , 12.2 , 15.6 , 15.9 , 15.6 , 15.2 ,
 Employed Male Residents Aged 20 - 24 Years , 91.8 , 96.4 , 93.5 , 96 , 91.6 , 83.4 , 77.2 , 78.8 , 68.9 , 66.8 , 61.5 , 69.3 , 65.9 , 66.7 , 69.7 , 61.2 , 74.8 , 67.9 , 70.1 , 70.2 , 75.9 , 76.7 , 84.5 , 79 , 79.3 , 77.4 , 78.8 , 73.4 , 70.9 ,
     Legislators & Senior Officials & Managers , 1.1 , 1 , 1.2 , 0.9 , 0.9 , 1.3 , 1.2 , 1.4 , 1 , 0.6 , 1.2 , 0.8 , 0.5 , 0.2 , 0.6 , 0.6 , 0.7 , 0.8 , 0.8 , 0.7 , 0.9 , 0.6 , 0.6 , 0.6 , 0.6 , 0.7 , 0.4 , 0.4 , 0.2 ,
         Managers & Administrators , na , 0.6 , 0.7 , 0.6 , 0.5 , - , 0.8 , 0.9 , 0.8 , 0.3 , - , 0.5 , 0.3 , 0 , 0.4 , - , 0.5 , 0.6 , 0.5 , 0.4 , 0.6 , 0.4 , 0.4 , 0.3 , 0 , 0.2 , 0.2 , 0.2 , 0 ,
         Working Proprietors , na , 0.4 , 0.5 , 0.3 , 0.4 , - , 0.4 , 0.5 , 0.2 , 0.3 , - , 0.3 , 0.2 , 0.2 , 0.2 , - , 0.2 , 0.2 , 0.3 , 0.3 , 0.3 , 0.2 , 0.2 , 0.3 , 0.6 , 0.5 , 0.2 , 0.2 , 0.2 ,
     Professionals , 1.6 , 2.1 , 1.9 , 2.6 , 2.7 , 2.2 , 2.3 , 3 , 2.5 , 2.6 , 2.3 , 3.2 , 2.1 , 2 , 1.3 , 1.9 , 3.8 , 2.7 , 4.2 , 2.7 , 3.6 , 2.1 , 2.2 , 1.1 , 1 , 2.4 , 1.8 , 2.4 , 2.3 ,
