year,sex,average_monthly_earnings
1998,total,2740
1999,total,2813
2000,total,3063
2001,total,3134
2002,total,3158
2003,total,3213
2004,total,3329
2005,total,3444
2006,total,3554
2007,total,3773
2008,total,3977
2009,total,3872
2010,total,4089
2011,total,4334
2012,total,4433
2013,total,4622
2014,total,4727
2015,total,4892
2016,total,5074
2017,total,5229
2018,total,5410
1998,male,3141
1999,male,3222
2000,male,3518
2001,male,3606
2002,male,3632
2003,male,3698
2004,male,3825
2005,male,3962
2006,male,4081
2007,male,4335
2008,male,4560
2009,male,4436
2010,male,4686
2011,male,4964
2012,male,5080
2013,male,5291
2014,male,5412
2015,male,5584
2016,male,5774
2017,male,5935
2018,male,6118
1998,female,2256
1999,female,2327
2000,female,2530
2001,female,2588
2002,female,2617
2003,female,2662
2004,female,2773
2005,female,2865
2006,female,2966
2007,female,3148
2008,female,3332
2009,female,3247
2010,female,3434
2011,female,3650
2012,female,3735
2013,female,3909
2014,female,4006
2015,female,4172
2016,female,4353
2017,female,4509
2018,female,4693
