 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 ,
 Female Residents In The Labour Force , 504.3 , 516.7 , 538 , 538.4 , 557.8 , 541.8 , 594.9 , 602.8 , 614.8 , 639.5 , 634.8 , 670.2 , 675 , 700 , 715.8 , 734.9 , 799.7 , 799.6 , 835.1 , 859 , 895.7 , 919.7 , 942 , 955.7 , 982.6 , 1016.1 , 1033.1 , 1031 , 1049.1 ,
     15 - 19 Years , 26.4 , 30.1 , 27.8 , 25.7 , 20.8 , 15.1 , 16.4 , 14.3 , 11.4 , 14.9 , 13.7 , 14.8 , 11.1 , 10.9 , 13.5 , 10.4 , 14.8 , 15 , 14.9 , 13.8 , 17 , 12.9 , 14.5 , 13 , 11.6 , 16 , 15 , 12.1 , 13.8 ,
     20 - 24 Years , 88.3 , 92.1 , 91.4 , 89.8 , 92 , 81 , 82.3 , 79.3 , 68.3 , 71.1 , 66.7 , 66.7 , 62.3 , 65.4 , 67.1 , 63.7 , 72.5 , 67.3 , 71.3 , 67.5 , 74.8 , 79.2 , 80.7 , 72.7 , 76.3 , 81.6 , 77.8 , 71.9 , 73.9 ,
     25 - 29 Years , 105 , 100 , 104.1 , 95.8 , 100.5 , 93.4 , 102.3 , 106.1 , 104.4 , 110 , 109.9 , 108.8 , 104.3 , 107.1 , 103.7 , 107.1 , 107.5 , 105.9 , 104.2 , 108.9 , 109.6 , 106.4 , 103.1 , 107.3 , 108.5 , 111.4 , 121.3 , 114.5 , 119.1 ,
     30 - 34 Years , 89.4 , 86.1 , 90.1 , 89.6 , 92.4 , 91.2 , 102.4 , 99.7 , 103.1 , 103.9 , 101.7 , 104.5 , 108.5 , 113.5 , 111.3 , 117.2 , 117.8 , 115.1 , 118.8 , 119 , 123 , 121.6 , 121.4 , 122.6 , 123.3 , 120.1 , 121.9 , 122.4 , 118.7 ,
     35 - 39 Years , 69.1 , 70.7 , 75.1 , 78.6 , 83 , 84.4 , 90.8 , 88.4 , 94.6 , 91.1 , 95.2 , 101 , 99.8 , 102.4 , 101.7 , 108.4 , 108.6 , 107.8 , 119 , 127.6 , 124.9 , 124.3 , 125.9 , 124.2 , 120.6 , 130 , 124.2 , 133.9 , 132.3 ,
     40 - 44 Years , 53.7 , 61.6 , 63.3 , 66.6 , 66.9 , 70.4 , 78.1 , 81.9 , 89.7 , 90.4 , 91 , 96.2 , 96.2 , 97.9 , 102 , 103.5 , 110 , 108.7 , 112.7 , 112.4 , 112.7 , 117.5 , 121.9 , 123 , 123.8 , 129.2 , 128.6 , 130.6 , 131 ,
     45 - 49 Years , 28.9 , 32.9 , 37.3 , 43 , 47.2 , 54.7 , 62.3 , 66.6 , 70.1 , 75.2 , 73.7 , 80.2 , 84.4 , 85.9 , 92.8 , 93.9 , 106.5 , 106.5 , 107.2 , 109.1 , 112.8 , 115.5 , 118.6 , 116.7 , 113.6 , 117 , 120.7 , 126.6 , 126.7 ,
     50 - 54 Years , 20.7 , 23 , 26.9 , 26.4 , 27.7 , 25.2 , 28.7 , 34.2 , 40.1 , 43.4 , 48.4 , 56 , 59.3 , 65.5 , 65.2 , 69.4 , 80.1 , 85 , 90.1 , 94.6 , 98.6 , 102.8 , 104 , 108 , 114.6 , 113 , 114.8 , 109.8 , 114.2 ,
     55 - 59 Years , 11.2 , 11.2 , 12.1 , 14 , 16 , 15.9 , 18.5 , 18.6 , 20.2 , 21.6 , 19.6 , 23.3 , 29.6 , 30.8 , 38.3 , 40.1 , 49.4 , 52.3 , 54.1 , 57.2 , 67.5 , 74.5 , 76.2 , 83.7 , 92 , 92.8 , 95.3 , 87.9 , 92.5 ,
