 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 ,
 Male Residents In The Labour Force , 810.3 , 856.2 , 871.8 , 883.3 , 898.3 , 885.6 , 916.6 , 935.5 , 931.7 , 956.4 , 941.8 , 974.1 , 992.9 , 1006.4 , 1017.6 , 1009.9 , 1081.2 , 1078.4 , 1093.2 , 1126.8 , 1151.6 , 1160.4 , 1177.6 , 1183.1 , 1202.6 , 1216.2 , 1224.5 , 1238.7 , 1243.6 ,
     15 - 19 Years , 29.1 , 36.9 , 34.1 , 27.8 , 25.3 , 20.2 , 24.1 , 18.5 , 17.7 , 19.3 , 15.9 , 19.6 , 14 , 14.7 , 15 , 13.1 , 17.2 , 21.6 , 19.3 , 18 , 24.1 , 21.2 , 19.4 , 18.3 , 19.4 , 24.1 , 22.9 , 22.9 , 23.9 ,
     20 - 24 Years , 95.3 , 99.4 , 98.5 , 101.1 , 96.5 , 88.6 , 82.2 , 82.7 , 73.5 , 71.9 , 66.2 , 73.3 , 70.9 , 71.1 , 75.1 , 66.5 , 80.2 , 73.3 , 75.7 , 78.8 , 82.8 , 82.8 , 90.6 , 84.4 , 84.9 , 84.6 , 84.7 , 81.2 , 77.3 ,
     25 - 29 Years , 135.5 , 134.5 , 132.6 , 126.1 , 124.1 , 114.3 , 110.7 , 116.2 , 110.9 , 114.7 , 116 , 110.1 , 106 , 105.1 , 104.7 , 107.8 , 104.8 , 104 , 105.1 , 111.8 , 113.6 , 108.3 , 104.2 , 102.4 , 109.1 , 108 , 118 , 114.7 , 117.6 ,
     30 - 34 Years , 142.1 , 143.3 , 147 , 137.4 , 141.2 , 140.3 , 142.5 , 141.8 , 137.3 , 141.9 , 133.1 , 130.2 , 129.3 , 133.5 , 131.2 , 133.3 , 129 , 129.9 , 124.1 , 129.3 , 131.8 , 127.8 , 123.5 , 126.1 , 126.8 , 123.6 , 122.8 , 120 , 122.6 ,
     35 - 39 Years , 123.9 , 131 , 130.3 , 136.8 , 144.6 , 148.2 , 151.3 , 149.8 , 152.3 , 154.9 , 152.9 , 155.3 , 157 , 149.8 , 138.5 , 142.5 , 142.3 , 141.7 , 144.8 , 141.3 , 150.1 , 143.9 , 140.4 , 138.2 , 135.6 , 136.8 , 135.5 , 141.1 , 138.4 ,
     40 - 44 Years , 99.7 , 110.2 , 113.5 , 123.5 , 123.4 , 130.8 , 138 , 141 , 146.2 , 146.2 , 148.7 , 153.7 , 155.2 , 154.3 , 158.7 , 156 , 155.6 , 148.6 , 149.4 , 150.8 , 141.8 , 139.4 , 143.7 , 143.3 , 142.2 , 146.8 , 139.8 , 150.4 , 147.4 ,
     45 - 49 Years , 60.8 , 64.1 , 73.7 , 85.8 , 93.5 , 101.3 , 115.1 , 119.8 , 123 , 121.8 , 123.7 , 131 , 135.8 , 142.2 , 147.1 , 143 , 156.2 , 151.5 , 154.8 , 152.8 , 154.1 , 153.9 , 151 , 149.6 , 139.4 , 141.6 , 139.3 , 145.8 , 144.2 ,
     50 - 54 Years , 52 , 63.1 , 63.6 , 63.7 , 63.7 , 59.9 , 60.4 , 72.8 , 77.9 , 85.9 , 93.2 , 103.6 , 111.1 , 112.5 , 118.7 , 116.5 , 131.9 , 132.4 , 134.7 , 138.6 , 137.1 , 144 , 145.2 , 147.2 , 146 , 149.7 , 147.4 , 145 , 145.6 ,
     55 - 59 Years , 34 , 38.2 , 38.8 , 39.5 , 42.9 , 43.4 , 49.2 , 49.2 , 50.3 , 49.7 , 45.9 , 43.9 , 58.4 , 67.2 , 74.2 , 76.3 , 92.8 , 97.4 , 97.9 , 102.3 , 110.9 , 113.3 , 120.8 , 121.6 , 128.3 , 130.9 , 131.6 , 125.6 , 132 ,
     60 - 64 Years , 20.1 , 21.3 , 22.5 , 23.8 , 23.4 , 21.9 , 23 , 24.4 , 24.2 , 28.1 , 26.9 , 31.6 , 32.5 , 32.3 , 32.9 , 31 , 39.8 , 45.1 , 51.5 , 61.1 , 63.5 , 74.2 , 82 , 86.5 , 94.7 , 95.2 , 100.1 , 100 , 101 ,
     65 Years & Over , 17.8 , 14.2 , 17.2 , 17.9 , 19.5 , 16.7 , 20.2 , 19.2 , 18.5 , 22.1 , 19.4 , 21.7 , 22.7 , 23.6 , 21.4 , 24 , 31.3 , 33 , 36 , 42 , 41.8 , 51.6 , 56.8 , 65.6 , 76.2 , 74.9 , 82.3 , 91.9 , 93.6 ,
 Male Employed Residents , 792.8 , 839 , 847.6 , 860.1 , 875.7 , 858.5 , 889.8 , 912.7 , 901.6 , 912.1 , 889.5 , 938.4 , 937.7 , 948.7 , 960.8 , 959.7 , 1036.5 , 1038.4 , 1053.6 , 1066.2 , 1106.6 , 1118.8 , 1138.1 , 1142.3 , 1161 , 1171.8 , 1178.4 , 1189.4 , 1197.2 ,
     15 - 19 Years , 28.6 , 35.7 , 32.7 , 26.7 , 24.1 , 19.3 , 23 , 18 , 17.1 , 18.6 , 15.3 , 18.9 , 13.2 , 14.1 , 14.1 , 12.5 , 16.4 , 20.4 , 18.8 , 17 , 22.9 , 20.4 , 18.4 , 17.5 , 18.5 , 22.9 , 22.2 , 22.3 , 23.3 ,
     20 - 24 Years , 91.8 , 96.4 , 93.5 , 96 , 91.6 , 83.4 , 77.2 , 78.8 , 68.9 , 66.8 , 61.5 , 69.3 , 65.9 , 66.7 , 69.7 , 61.2 , 74.8 , 67.9 , 70.1 , 70.2 , 75.9 , 76.7 , 84.5 , 79 , 79.3 , 77.4 , 78.8 , 73.4 , 70.9 ,
     25 - 29 Years , 131.5 , 131 , 127.7 , 121 , 119.3 , 109.3 , 106.3 , 112.4 , 106.1 , 109 , 108.8 , 104.8 , 98.5 , 97.4 , 97 , 101.2 , 99.6 , 98.3 , 98 , 102.5 , 106.9 , 102.7 , 98.4 , 96 , 101.8 , 101.8 , 110 , 107.4 , 110.5 ,
     30 - 34 Years , 138.9 , 140.8 , 143.4 , 134.3 , 138.5 , 135.8 , 139.3 , 139 , 133.8 , 136.7 , 126.7 , 126.4 , 124.4 , 126.1 , 126.8 , 128.4 , 124.3 , 126.6 , 121.1 , 124.5 , 127.3 , 123.9 , 120.7 , 122.7 , 123.1 , 119.9 , 119.3 , 117.1 , 119.2 ,
     35 - 39 Years , 121.6 , 129.1 , 127.6 , 133.9 , 141.8 , 144.6 , 147.8 , 147.3 , 148.3 , 149 , 145.7 , 150.5 , 149.7 , 141.8 , 132.1 , 137.1 , 137.8 , 138.1 , 141.7 , 135 , 145.6 , 140.3 , 137.8 , 134.7 , 132 , 133.9 , 131.5 , 136.6 , 134.5 ,
     40 - 44 Years , 98 , 108.4 , 111.1 , 121.6 , 121.3 , 127.8 , 134.7 , 138 , 142.2 , 139.6 , 140.5 , 148.6 , 147.2 , 145.8 , 149.6 , 150.1 , 150.1 , 144.7 , 145.3 , 145.1 , 137.6 , 136.1 , 140.3 , 139.5 , 137.6 , 143.4 , 135.8 , 146.3 , 143.8 ,
     45 - 49 Years , 59.5 , 63.1 , 71.7 , 84.3 , 91.8 , 98.8 , 112.6 , 117.5 , 119.1 , 115.2 , 116.5 , 125.6 , 127.3 , 134.5 , 139.2 , 136.3 , 151.1 , 146.5 , 150.1 , 146.2 , 149.4 , 149.7 , 146.7 , 145.7 , 136 , 137.3 , 135.1 , 142 , 139.5 ,
     50 - 54 Years , 51.2 , 61.7 , 62.2 , 62.4 , 62.6 , 58.7 , 58.9 , 71 , 75.4 , 81.6 , 87.1 , 99.9 , 104 , 105.2 , 110.6 , 110 , 126 , 127.8 , 130.2 , 132.1 , 132 , 138.7 , 140.7 , 142.9 , 143 , 145.8 , 143 , 139.1 , 140.4 ,
     55 - 59 Years , 33.9 , 37.8 , 38.2 , 38.8 , 42.2 , 42.5 , 47.8 , 48.1 , 48.7 , 47.6 , 43.2 , 42.1 , 54.5 , 63.1 , 69.7 , 71.3 , 88.4 , 93.1 , 94 , 96.3 , 107.1 , 109.4 , 117.3 , 118.4 , 124.3 , 126.5 , 126.7 , 120.5 , 128.2 ,
     60 - 64 Years , 20.1 , 21 , 22.2 , 23.5 , 23 , 21.8 , 22.3 , 23.7 , 23.7 , 26.9 , 25.6 , 30.9 , 31 , 31.2 , 31.1 , 29 , 37.9 , 42.9 , 49.8 , 57.5 , 61.3 , 71.4 , 79.2 , 83 , 91.9 , 91.3 , 97 , 96.5 , 97.7 ,
     65 Years & Over , 17.8 , 14.2 , 17.1 , 17.7 , 19.4 , 16.6 , 19.8 , 18.9 , 18.4 , 21.1 , 18.8 , 21.4 , 21.9 , 22.9 , 20.8 , 22.7 , 30 , 32 , 34.6 , 39.9 , 40.5 , 49.6 , 54.2 , 62.9 , 73.5 , 71.4 , 79 , 88.3 , 89.4 ,
 Male Unemployed Residents , 17.6 , 17.2 , 24.2 , 23.3 , 22.7 , 27.1 , 26.8 , 22.8 , 30.1 , 44.3 , 52.3 , 35.7 , 55.3 , 57.6 , 56.8 , 50.2 , 44.7 , 40 , 39.6 , 60.6 , 45 , 41.6 , 39.5 , 40.7 , 41.6 , 44.4 , 46.1 , 49.3 , 46.4 ,
     15 - 19 Years , 0.5 , 1.3 , 1.4 , 1.2 , 1.2 , 0.9 , 1.1 , 0.6 , 0.6 , 0.7 , 0.6 , 0.7 , 0.8 , 0.6 , 0.8 , 0.6 , 0.8 , 1.1 , 0.5 , 0.9 , 1.2 , 0.8 , 1 , 0.8 , 0.9 , 1.2 , 0.8 , 0.7 , 0.7 ,
     20 - 24 Years , 3.6 , 3 , 4.9 , 5.1 , 5 , 5.2 , 5 , 3.9 , 4.6 , 5.1 , 4.7 , 4 , 5 , 4.4 , 5.3 , 5.3 , 5.4 , 5.5 , 5.6 , 8.6 , 6.9 , 6.1 , 6 , 5.5 , 5.6 , 7.2 , 5.9 , 7.8 , 6.4 ,
     25 - 29 Years , 4 , 3.5 , 5 , 5.1 , 4.8 , 5 , 4.5 , 3.8 , 4.8 , 5.8 , 7.2 , 5.3 , 7.5 , 7.8 , 7.7 , 6.6 , 5.2 , 5.7 , 7.1 , 9.3 , 6.6 , 5.6 , 5.8 , 6.3 , 7.3 , 6.2 , 8 , 7.4 , 7.2 ,
     30 - 34 Years , 3.1 , 2.5 , 3.6 , 3.1 , 2.7 , 4.5 , 3.2 , 2.8 , 3.4 , 5.1 , 6.4 , 3.8 , 4.9 , 7.4 , 4.5 , 4.9 , 4.7 , 3.3 , 3 , 4.8 , 4.5 , 3.9 , 2.9 , 3.4 , 3.7 , 3.6 , 3.5 , 3 , 3.4 ,
     35 - 39 Years , 2.3 , 1.9 , 2.7 , 2.9 , 2.8 , 3.7 , 3.4 , 2.5 , 4 , 5.8 , 7.2 , 4.8 , 7.3 , 8 , 6.5 , 5.4 , 4.5 , 3.6 , 3.1 , 6.3 , 4.5 , 3.6 , 2.6 , 3.4 , 3.6 , 2.9 , 4 , 4.5 , 3.9 ,
     40 - 44 Years , 1.8 , 1.9 , 2.4 , 1.8 , 2.1 , 3 , 3.2 , 3 , 4 , 6.6 , 8.2 , 5.1 , 8 , 8.6 , 9 , 6 , 5.5 , 3.9 , 4 , 5.7 , 4.1 , 3.3 , 3.4 , 3.8 , 4.6 , 3.4 , 4 , 4.1 , 3.5 ,
     45 - 49 Years , 1.3 , 1 , 2 , 1.5 , 1.7 , 2.5 , 2.5 , 2.3 , 3.8 , 6.6 , 7.3 , 5.4 , 8.5 , 7.6 , 7.9 , 6.7 , 5.1 , 5.1 , 4.7 , 6.6 , 4.6 , 4.2 , 4.2 , 3.9 , 3.4 , 4.2 , 4.2 , 3.9 , 4.7 ,
