"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2017,1,"Ciutat Vella",1,"el Raval","Homes",26022
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Homes",8440
2017,1,"Ciutat Vella",3,"la Barceloneta","Homes",7511
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes",11431
2017,2,"Eixample",5,"el Fort Pienc","Homes",15086
2017,2,"Eixample",6,"la Sagrada Família","Homes",23637
2017,2,"Eixample",7,"la Dreta de l'Eixample","Homes",20504
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes",19760
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes",27058
2017,2,"Eixample",10,"Sant Antoni","Homes",18200
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Homes",19895
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes",598
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Homes",14726
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes",4908
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Homes",7625
2017,3,"Sants-Montjuïc",16,"la Bordeta","Homes",8748
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Homes",11235
2017,3,"Sants-Montjuïc",18,"Sants","Homes",19388
2017,4,"Les Corts",19,"les Corts","Homes",21404
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes",11201
2017,4,"Les Corts",21,"Pedralbes","Homes",5673
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes",2327
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes",11681
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes",7721
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes",11920
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes",21534
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes",13441
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Homes",7266
2017,6,"Gràcia",29,"el Coll","Homes",3476
2017,6,"Gràcia",30,"la Salut","Homes",6068
2017,6,"Gràcia",31,"la Vila de Gràcia","Homes",23143
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes",15716
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes",11843
