;;;;;;;;;;;;;;;
;Catalonia Police    [Policía de la Generalitat - Mossos d’Esquadra];;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Type of facts known per district in Barcelona. 2014-2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;BARCELONA;"1.Ciutat  
Vella";2.Eixample;"3.Sants-  
Montjuïc";4.Les Corts;"5.Sarrià-  
Sant Gervasi";6.Gràcia;"7.Horta-  
Guinardó";"8.Nou  
Barris";"9.Sant  
Andreu";"10.Sant  
Martí";"Distrito  
desconocido"
;;;;;;;;;;;;;;;
;2018;;;219.521;54.056;56.231;24.065;7.794;10.231;10.300;8.852;8.865;11.406;25.650;2.071
;;;;;;;;;;;;;;;
;Homicide;;;73;15;7;14;2;2;6;5;8;3;11;0
;Omission of S.O.S. duty;;;1;0;0;0;0;0;0;0;0;0;1;0
;Falsehoods;;;820;99;167;155;57;31;35;51;55;66;94;10
;Lesions;;;5.699;1.090;1.035;821;159;267;226;374;512;445;747;23
;Torture;;;162;18;25;20;6;5;12;14;22;17;22;1
;Human traffic;;;10;2;1;0;3;0;1;0;1;0;2;0
;Economics crimes;;;205.231;51.228;53.832;21.985;7.313;9.591;9.710;7.920;7.545;10.323;23.817;1.967
;Against foreign;;;1;0;1;0;0;0;0;0;0;0;0;0
;Against honor;;;24;0;5;4;2;5;2;2;3;0;0;1
;Against Constitution;;;67;9;6;8;2;0;4;1;8;5;3;21
;Against privacy;;;491;65;99;66;35;35;28;29;51;37;43;3
;Against freedom;;;3.313;444;497;495;125;178;164;271;372;292;462;13
;Against sexual freedom;;;743;128;131;113;18;36;31;45;64;61;102;14
;Against Justice;;;647;96;95;114;19;16;13;30;78;65;118;3
;Against public administration;;;8;2;1;3;0;0;0;0;0;1;1;0
;Against familiar relationships;;;173;16;17;22;3;8;7;32;29;21;18;0
;Crimes against public order;;;974;317;216;117;30;38;25;30;55;34;100;12
;Crimes related to genetic manipulation;;;1;0;0;0;0;0;0;1;0;0;0;0
;Workers' rights;;;8;0;2;4;0;0;0;1;1;0;0;0
;Against the Public Treasury and against Social Security;;;2;0;0;0;0;1;0;0;0;1;0;0
;Against collective security;;;1.044;523;92;119;19;18;34;46;55;34;102;2
;Crimes related to urban planning, the protection of the historical heritage and the environment;;;29;4;2;5;1;0;2;0;6;1;7;1
;Departament d'Estadística i Difusió de Dades. Ajuntament de Barcelona.;;;;;;;;;;;;;;
;Fuente: Generalitat de Catalunya. Departament d'Interior. Direcció General de la Policia.;;;;;;;;;;;;;;
