;;;;BARCELONA;"1.Ciutat  
Vella";2.Eixample;"3.Sants-  
Montjuïc";4.Les Corts;"5.Sarrià-  
Sant Gervasi";6.Gràcia;"7.Horta-  
Guinardó";"8.Nou  
Barris";"9.Sant  
Andreu";"10.Sant  
Martí"
;Total 2018;;;219.521;54.056;56.231;24.065;7.794;10.231;10.300;8.852;8.865;11.406;25.650
;Homicide;;;73;15;7;14;2;2;6;5;8;3;11
;Omission of S.O.S. duty;;;1;0;0;0;0;0;0;0;0;0;1
;Falsehoods;;;820;99;167;155;57;31;35;51;55;66;94
;Lesions;;;5.699;1.090;1.035;821;159;267;226;374;512;445;747
;Torture;;;162;18;25;20;6;5;12;14;22;17;22
;Human traffic;;;10;2;1;0;3;0;1;0;1;0;2
;Economics crimes;;;205.231;51.228;53.832;21.985;7.313;9.591;9.710;7.920;7.545;10.323;23.817
;Against foreign;;;1;0;1;0;0;0;0;0;0;0;0
;Against honor;;;24;0;5;4;2;5;2;2;3;0;0
;Against Constitution;;;67;9;6;8;2;0;4;1;8;5;3
;Against privacy;;;491;65;99;66;35;35;28;29;51;37;43
;Against freedom;;;3.313;444;497;495;125;178;164;271;372;292;462
;Against sexual freedom;;;743;128;131;113;18;36;31;45;64;61;102
;Against Justice;;;647;96;95;114;19;16;13;30;78;65;118
;Against public administration;;;8;2;1;3;0;0;0;0;0;1;1
;Against familiar relationships;;;173;16;17;22;3;8;7;32;29;21;18
;Crimes against public order;;;974;317;216;117;30;38;25;30;55;34;100
;Crimes related to genetic manipulation;;;1;0;0;0;0;0;0;1;0;0;0
;Workers' rights;;;8;0;2;4;0;0;0;1;1;0;0
;Against the Public Treasury and against Social Security;;;2;0;0;0;0;1;0;0;0;1;0
;Against collective security;;;1.044;523;92;119;19;18;34;46;55;34;102
;Crimes related to urban planning, the protection of the historical heritage and the environment;;;29;4;2;5;1;0;2;0;6;1;7
