bezirkId,bezirk,a_wahlkreis,b_wahlkreis,ost_west,wahlberechtigte,waehler,gueltig,ungueltig,CDU,DIE LINKE,SPD,GRUNE,FDP,PIRATEN,NPD,BuSo,MLPD,AfD,BIG,pro Deutschland,FREIE WAHLER,Die PARTEI,Boes,B,Bundnis 21_RRP,DKP,Die Violetten,Ditsche,Di Leo,Sylla,Fricke,Otto,Beckmann,Snelinski
1,Mitte,1,75,O,1264,634,622,12,167,109,168,107,14,25,4,0,2,17,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0
1,Mitte,1,75,O,1146,520,519,1,158,77,132,97,15,13,4,1,0,15,0,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,979,476,470,6,112,90,96,103,12,28,0,0,0,13,0,0,1,10,2,0,0,1,0,0,0,2,0,0,0,0
1,Mitte,1,75,O,1333,649,643,6,231,84,163,103,11,16,3,0,1,18,0,0,1,6,2,0,0,2,0,0,0,2,0,0,0,0
1,Mitte,1,75,W,1091,461,452,9,110,69,137,80,4,20,7,1,1,4,4,0,1,4,4,0,0,2,0,0,0,4,0,0,0,0
1,Mitte,1,75,O,1116,587,570,17,122,114,144,120,4,26,6,0,0,26,1,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0
1,Mitte,1,75,O,1249,601,596,5,175,74,155,140,13,9,3,0,0,17,0,0,1,4,4,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,1,75,O,1039,639,637,2,122,76,155,227,12,19,3,0,0,9,0,0,0,9,3,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,1066,580,574,6,149,68,159,153,9,15,2,0,0,11,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,1,75,O,654,374,373,1,56,64,95,109,3,20,2,1,1,7,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,1,75,O,1214,696,689,7,128,94,184,210,8,32,3,1,1,13,1,0,2,7,3,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,1551,893,889,4,223,113,200,252,8,35,6,0,0,19,2,0,1,18,7,0,0,4,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,1070,615,608,7,119,113,143,176,7,19,3,0,0,17,0,0,0,2,5,0,0,3,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,1130,588,582,6,119,89,148,166,8,19,7,2,0,12,0,0,0,7,4,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,1,75,O,940,517,515,2,91,96,116,161,7,19,3,1,0,12,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,1,75,O,1153,618,610,8,135,97,144,167,9,20,6,0,1,18,0,0,2,5,4,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,1136,589,581,8,119,76,140,173,13,19,2,2,2,5,0,0,0,16,11,0,0,2,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,1061,534,527,7,140,59,138,158,7,7,2,0,0,4,1,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,558,327,322,5,77,72,77,65,7,9,0,0,1,8,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,1,75,O,1265,676,672,4,145,126,148,183,9,24,6,0,0,14,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,1,75,W,1222,612,593,19,173,92,192,62,6,25,10,0,1,23,1,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,736,400,396,4,107,65,77,104,10,11,3,0,0,10,1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,1,75,O,897,468,461,7,121,108,93,85,3,20,8,0,0,10,0,0,0,9,3,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,1166,600,595,5,138,115,126,148,14,16,2,0,1,19,0,0,1,11,3,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,1,75,W,1154,461,449,12,160,62,137,35,6,12,6,1,0,18,3,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,1,75,O,590,327,322,5,88,65,83,56,4,9,2,0,0,7,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0
1,Mitte,1,75,O,832,442,442,0,103,60,107,118,13,13,0,0,0,12,0,0,1,11,4,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,1,75,O,594,320,316,4,53,51,81,94,8,14,2,0,0,9,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,1,75,W,1181,594,576,18,152,113,179,74,4,15,9,4,0,19,2,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,1,75,W,1229,647,631,16,166,126,171,96,2,26,6,0,1,16,6,0,0,11,2,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,1,75,W,874,449,440,9,102,53,155,78,6,18,2,1,0,12,9,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0
1,Mitte,1,75,W,1046,519,505,14,176,51,171,44,5,25,5,1,1,15,6,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,896,479,473,6,141,128,105,35,4,21,3,0,1,22,0,0,2,7,3,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,1212,608,600,8,211,119,141,56,26,9,4,1,0,17,1,0,1,6,3,0,0,3,0,0,0,2,0,0,0,0
1,Mitte,2,75,O,1121,552,544,8,175,147,116,39,20,16,0,0,0,24,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,1161,585,576,9,136,210,126,33,5,9,9,0,2,28,1,0,1,4,4,0,0,8,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,1281,606,597,9,190,171,125,45,14,12,3,0,1,30,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,1166,562,557,5,131,192,128,44,5,22,5,1,0,15,0,0,0,4,3,0,0,4,0,0,0,3,0,0,0,0
1,Mitte,2,75,O,930,456,451,5,94,182,99,25,5,15,2,2,2,16,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0
1,Mitte,2,75,O,1217,605,599,6,120,225,135,58,12,18,2,1,0,19,1,0,0,4,1,0,0,2,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,925,484,482,2,126,132,122,46,4,16,7,2,0,15,0,0,0,5,6,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,899,441,439,2,89,99,86,105,7,19,3,0,0,13,6,0,0,9,0,0,0,2,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,941,478,470,8,81,152,107,82,4,13,4,0,0,13,0,0,2,4,6,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,2,75,O,641,303,297,6,55,83,63,41,6,22,2,2,0,12,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,638,291,286,5,58,104,71,15,4,9,5,0,0,17,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,1096,592,578,14,139,228,108,39,5,16,13,0,1,21,0,0,1,2,0,0,0,4,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,1018,571,567,4,126,243,99,39,4,13,9,3,1,22,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,1118,588,578,10,145,241,114,26,1,11,12,0,0,21,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,1133,518,505,13,93,232,99,29,4,18,3,1,1,12,0,0,0,8,0,0,0,4,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,898,405,397,8,90,164,87,22,2,6,1,1,0,7,1,0,3,7,3,0,0,3,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,1340,665,657,8,167,132,179,96,15,24,6,0,1,20,0,0,1,6,4,0,0,5,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,861,449,444,5,86,159,95,43,5,12,4,0,1,22,4,0,1,6,1,0,0,4,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,1312,718,702,16,154,280,174,36,5,14,2,0,1,28,0,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,970,530,524,6,126,190,134,22,1,11,7,2,0,21,0,0,2,4,2,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,1193,623,614,9,137,232,141,45,4,12,12,2,1,17,1,0,3,3,1,0,0,3,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,615,326,323,3,59,53,84,81,4,12,3,1,2,8,2,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,1181,611,602,9,108,149,156,116,6,19,7,4,3,14,1,0,2,10,4,0,0,2,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,871,458,451,7,104,182,93,24,5,13,8,0,0,13,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,459,174,173,1,43,58,38,18,3,9,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,1507,806,800,6,221,146,235,124,14,14,4,1,1,23,1,0,1,10,1,0,0,4,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,976,483,477,6,176,86,92,75,9,10,3,0,0,14,0,0,0,6,5,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,937,466,462,4,102,77,94,135,9,16,1,1,1,13,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,633,344,342,2,70,76,76,92,2,12,0,0,0,2,0,0,1,4,6,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,674,352,347,5,92,61,95,65,5,12,1,0,0,10,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,1205,628,617,11,230,77,179,60,11,22,3,0,1,25,1,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0
1,Mitte,3,75,W,885,467,459,8,116,55,133,98,6,19,2,4,0,16,1,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,1136,600,588,12,193,43,186,85,10,28,5,0,1,20,4,0,1,6,3,0,0,0,0,0,0,3,0,0,0,0
1,Mitte,3,75,W,888,449,446,3,125,32,151,93,8,10,2,1,0,13,0,0,1,4,2,0,0,2,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,823,411,400,11,80,45,138,98,6,12,2,1,0,11,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,1066,566,563,3,131,44,208,135,9,9,2,0,1,14,0,0,0,4,4,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,943,520,509,11,114,48,158,130,8,20,3,1,0,13,5,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,1167,582,569,13,121,58,173,130,8,25,3,2,1,15,4,0,1,11,8,0,0,1,0,0,0,8,0,0,0,0
1,Mitte,3,75,W,1323,577,564,13,120,76,195,91,3,30,2,0,3,19,2,0,1,12,5,0,0,3,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,907,481,478,3,84,77,132,104,9,31,1,0,1,16,1,0,2,8,7,0,0,0,0,0,0,5,0,0,0,0
1,Mitte,3,75,W,902,447,434,13,87,59,140,89,4,12,3,0,2,13,5,0,1,9,1,0,0,1,0,0,0,8,0,0,0,0
1,Mitte,3,75,W,907,490,485,5,114,57,152,95,11,22,3,0,1,17,0,0,0,5,4,0,0,1,0,0,0,3,0,0,0,0
1,Mitte,3,75,W,1355,756,752,4,118,102,236,223,7,26,3,0,0,21,1,0,2,7,2,0,0,0,0,0,0,4,0,0,0,0
1,Mitte,3,75,W,1292,745,739,6,151,69,248,205,9,13,5,1,2,19,0,0,1,9,3,0,0,1,0,0,0,3,0,0,0,0
1,Mitte,3,75,W,1124,670,662,8,125,56,218,215,2,15,4,0,2,11,2,0,0,4,4,0,0,2,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,1116,612,601,11,163,69,173,131,2,23,3,1,0,27,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
