bezirkId,bezirk,ortsteilId,ortsteil,geschl,staatsangeh,altersgr,haufigkeit
1,Mitte,101,Mitte,1,A,00_05,534
1,Mitte,101,Mitte,1,A,05_10,409
1,Mitte,101,Mitte,1,A,10_15,287
1,Mitte,101,Mitte,1,A,15_20,377
1,Mitte,101,Mitte,1,A,20_25,1181
1,Mitte,101,Mitte,1,A,25_30,2509
1,Mitte,101,Mitte,1,A,30_35,3134
1,Mitte,101,Mitte,1,A,35_40,2309
1,Mitte,101,Mitte,1,A,40_45,1571
1,Mitte,101,Mitte,1,A,45_50,1182
1,Mitte,101,Mitte,1,A,50_55,843
1,Mitte,101,Mitte,1,A,55_60,544
1,Mitte,101,Mitte,1,A,60_65,361
1,Mitte,101,Mitte,1,A,65_70,242
1,Mitte,101,Mitte,1,A,70_75,140
1,Mitte,101,Mitte,1,A,75_80,82
1,Mitte,101,Mitte,1,A,80_85,53
1,Mitte,101,Mitte,1,A,85_90,21
1,Mitte,101,Mitte,1,A,90_95,13
1,Mitte,101,Mitte,1,D,00_05,2143
1,Mitte,101,Mitte,1,D,05_10,1653
1,Mitte,101,Mitte,1,D,10_15,1408
1,Mitte,101,Mitte,1,D,15_20,1059
1,Mitte,101,Mitte,1,D,20_25,1310
1,Mitte,101,Mitte,1,D,25_30,2477
1,Mitte,101,Mitte,1,D,30_35,3572
1,Mitte,101,Mitte,1,D,35_40,3437
1,Mitte,101,Mitte,1,D,40_45,3069
1,Mitte,101,Mitte,1,D,45_50,2987
1,Mitte,101,Mitte,1,D,50_55,3215
1,Mitte,101,Mitte,1,D,55_60,2441
1,Mitte,101,Mitte,1,D,60_65,1770
1,Mitte,101,Mitte,1,D,65_70,1361
1,Mitte,101,Mitte,1,D,70_75,1001
1,Mitte,101,Mitte,1,D,75_80,1293
1,Mitte,101,Mitte,1,D,80_85,949
1,Mitte,101,Mitte,1,D,85_90,465
1,Mitte,101,Mitte,1,D,90_95,142
1,Mitte,101,Mitte,1,D,95 und älter,16
1,Mitte,101,Mitte,2,A,00_05,513
1,Mitte,101,Mitte,2,A,05_10,375
1,Mitte,101,Mitte,2,A,10_15,278
1,Mitte,101,Mitte,2,A,15_20,328
1,Mitte,101,Mitte,2,A,20_25,1365
1,Mitte,101,Mitte,2,A,25_30,2698
1,Mitte,101,Mitte,2,A,30_35,3018
1,Mitte,101,Mitte,2,A,35_40,1961
1,Mitte,101,Mitte,2,A,40_45,1252
1,Mitte,101,Mitte,2,A,45_50,991
1,Mitte,101,Mitte,2,A,50_55,637
1,Mitte,101,Mitte,2,A,55_60,439
1,Mitte,101,Mitte,2,A,60_65,310
1,Mitte,101,Mitte,2,A,65_70,215
1,Mitte,101,Mitte,2,A,70_75,140
1,Mitte,101,Mitte,2,A,75_80,78
1,Mitte,101,Mitte,2,A,80_85,52
1,Mitte,101,Mitte,2,A,85_90,27
